taxonID,taxonRank,scientificName,Scientific Name Authorship,Nomenclatural Status,Preferred Common Name,establishmentMeans,Habitat,genus,family,order,class,phylum,kingdom,datasetName
NBNSYS0000036633,species,Bryum violaceum,Crundw. & Nyholm,,Pill Bryum,Native,,Bryum,Bryaceae,Bryales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021239484,species sensu lato,Orthotrichum pumilum,Sw.,sensu lato,Dwarf Bristle-moss,Native,,Orthotrichum,Orthotrichaceae,Orthotrichales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309704,genus,Cratoneuron,(Sull.) Spruce,,,Native,freshwater,,Amblystegiaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036202,species,Oncophorus wahlenbergii,Brid.,,Wahlenberg's Spur-moss,Native,freshwater,Oncophorus,Rhabdoweisiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021195185,species sensu lato,Campylium stellatum,(Hedw.) Lange & C.E.O.Jensen,s.lat.,Yellow Starry Feather-moss,Native,freshwater,Campylium,Amblystegiaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310057,family,Hookeriaceae,Schimp.,,,Native,,,,Hookeriales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309745,genus,Dicranella,(Muell.Hal.) Schimp.,,,Native,freshwater,,Dicranellaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309391,family,Aulacomniaceae,Schimp.,,,Native,,,,Aulacomniales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0100005440,species,Schistidium pruinosum,(Wilson ex Schimp.) Roth,,Mealy Grimmia,Native,,Schistidium,Grimmiaceae,Grimmiales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309352,species,Anomobryum julaceum,"(P.Gaertn., B.Mey. & Scherb.) Schimp.",s.l.,Slender Silver-moss,Native,terrestrial/freshwater,Anomobryum,Bryaceae,Bryales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309301,genus,Aloina,Kindb.,,,Native,,,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310914,species aggregate,Schistidium rivulare,,sensu lato,,Native,freshwater,Schistidium,Grimmiaceae,Grimmiales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021593167,species,Campylium bambergeri,"(Schimp.) Hedenäs, Schlesak & D.Quandt",,Golden Plait-moss,Native,terrestrial,Campylium,Amblystegiaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0020695887,species,Oxyrrhynchium hians,(Hedw.) Loeske,,Swartz's Feather-moss,Native,freshwater,Oxyrrhynchium,Brachytheciaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000154157,species,Plasteurhynchium meridionale,(Schimp.) M.Fleisch.,,Portland Feather-moss,Native,,Plasteurhynchium,Brachytheciaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309385,species,Atrichum angustatum,(Brid.) Bruch & Schimp.,,Lesser Smoothcap,Native,freshwater,Atrichum,Polytrichaceae,Polytrichales,Polytrichopsida,Bryophyta,Plantae,UKSI
NHMSYS0021616626,species,Brachythecium rivulare,Schimp.,,River Feather-moss,Native,terrestrial/freshwater,Brachythecium,Brachytheciaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309789,genus,Distichium,"Bruch, Schimp. & W.Guembel",,,Native,,,Distichiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000146087,species,Didymodon cordatus,Jur.,,Cordate Beard-moss,Native,,Didymodon,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310831,variety,Weissia brachycarpa var. obliqua,(Nees & Hornsch.) M.O.Hill,,,Native,,Weissia,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310825,genus,Warnstorfia,Loeske,,,Native,freshwater,,Calliergonaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310411,genus,Paludella,Brid.,,,Native,,,Meesiaceae,Splachnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309569,species,Campylopus fragilis,"(Brid.) Bruch, Schimp. & W.Guembel",,Brittle Swan-neck Moss,Native,freshwater,Campylopus,Leucobryaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036472,species,Grimmia incurva,Schwaegr.,,Black Grimmia,Native,,Grimmia,Grimmiaceae,Grimmiales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036192,species,Rhabdoweisia crispata,(Dicks.) Lindb.,,Toothed Streak-moss,Native,freshwater,Rhabdoweisia,Rhabdoweisiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310543,species,Racomitrium himalayanum,(Mitt.) A.Jaeger,,Himalayan Fringe-moss,Native,,Racomitrium,Grimmiaceae,Grimmiales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021601272,species,Nyholmiella obtusifolia,(Brid.) Holmen & E.Warncke,,Blunt-leaved Bristle-moss,Native,terrestrial,Nyholmiella,Orthotrichaceae,Orthotrichales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309637,family,Climaciaceae,Kindberg,,,Native,,,,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036673,species,Bartramia pomiformis,Hedw.,,Common Apple-moss,Native,,Bartramia,Bartramiaceae,Bartramiales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036107,species,Sphagnum lindbergii,Schimp. ex Lindb.,,Lindberg's Bog-moss,Native,freshwater,Sphagnum,Sphagnaceae,Sphagnales,Sphagnopsida,Bryophyta,Plantae,UKSI
NHMSYS0021571778,species,Pseudohygrohypnum subeugyrium,(Renauld & Cardot) Ignatov & Ignatova,,,Native,terrestrial,Pseudohygrohypnum,Pylaisiaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036766,species,Leskea polycarpa,Hedw.,,Many-fruited Leskea,Native,freshwater,Leskea,Leskeaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036937,species,Hypnum uncinulatum,Jur.,,Hooked Plait-moss,Native,,Hypnum,Hypnaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309342,family,Andreaeaceae,Dumort.,,,Native,,,,Andreaeales,Andreaeopsida,Bryophyta,Plantae,UKSI
NHMSYS0020930049,genus,Calomnion,Hook. f. & Wilson,,,Native,,,Rhizogoniaceae,Rhizogoniales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021635340,species,Dicranella varia,(Hedw.) Schimp.,s.str.,,Native,terrestrial/freshwater,Dicranella,Dicranellaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310529,family,Ptychomitriaceae,Schimp.,,,Native,,,,Grimmiales,Bryopsida,Bryophyta,Plantae,UKSI
