taxonID,taxonRank,scientificName,Scientific Name Authorship,Nomenclatural Status,Preferred Common Name,establishmentMeans,Habitat,genus,family,order,class,phylum,kingdom,datasetName
NHMSYS0000310226,genus,Nardia,Gray,,,Native,freshwater,,Gymnomitriaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021125883,species,Herbertus norenus,"D.G.Long, D.Bell & H.H.Blom",,,Native,terrestrial,Herbertus,Herbertaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309326,genus,Anastrepta,(Lindb.) Schiffn.,,,Native,,,Anastrophyllaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021592287,family,Anastrophyllaceae,"L.Söderstr., De Roo & Hedd.",,,Native,terrestrial/freshwater,,,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021595387,species,Oleolophozia,"(H.Buch & S.W.Arnell) L. Söderstr., De Roo & Hedd.",,,Native,terrestrial,,Cephaloziellaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310495,genus,Preissia,Corda,,,Native,,,Marchantiaceae,Marchantiales,Marchantiopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309382,genus,Athalamia,Falconer,,,Native,,,Cleveaceae,Marchantiales,Marchantiopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309907,species,Frullania tamarisci,(L.) Dumort.,,Tamarisk Scalewort,Native,,Frullania,Frullaniaceae,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310143,species,Lejeunea mandonii,(Steph.) Muell.Frib.,,Atlantic Pouncewort,Native,freshwater,Lejeunea,Lejeuneaceae,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021194710,species,Plagiochila bifaria,(Sw.) Lindenb.,,Killarney Featherwort,Native,,Plagiochila,Plagiochilaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310019,species,Harpanthus scutatus,(F.Weber & D.Mohr) Spruce,,Stipular Flapwort,Native,,Harpanthus,Harpanthaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310425,genus,Petalophyllum,Nees & Gottsche ex Lehm.,,,Native,freshwater,,Petalophyllaceae,Fossombroniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
