"Supplied Name","guid","scientificName","family","kingdom"
"Stereocaulon dactylophyllum var. dactylophyllum","NHMSYS0001498942","Stereocaulon dactylophyllum var. dactylophyllum","Stereocaulaceae","Fungi"
"Gyalecta biformis","NHMSYS0001483299","Gyalecta biformis","Gyalectaceae","Fungi"
"Collema callopismum var. callopismum","BMSSYS0000051049","Scytinium callopismum","Collemataceae","Fungi"
"Lecidea fuscoatra s. str.","NHMSYS0020987752","Lecidea fuscoatra s. str.","Lecideaceae","Fungi"
"Chaenotheca hispidula","NBNSYS0000015549","Chaenotheca hispidula","Coniocybaceae","Fungi"
"Bacidia adastra","BMSSYS0000042814","Bacidina adastra","Ramalinaceae","Fungi"
"Rinodina fimbriata","BMSSYS0000016421","Rinodina fimbriata","Physciaceae","Fungi"
"Stereocaulon tomentosum","NBNSYS0000019066","Stereocaulon tomentosum","Stereocaulaceae","Fungi"
"Acarospora badiofusca","NBNSYS0000018150","Acarospora badiofusca","Acarosporaceae","Fungi"
"Thelomma ocellatum","BMSSYS0000598542","Pseudothelomma ocellatum","Caliciaceae","Fungi"
"Lempholemma chalazanellum","NBNSYS0000018754","Lempholemma chalazanellum","Lichinaceae","Fungi"
"Xylographa vitiligo","NHMSYS0001502029","Xylographa vitiligo","Trapeliaceae","Fungi"
"Pyrenopsis phylliscella","NBNSYS0000018979","Pyrenopsis phylliscella","Lichinaceae","Fungi"
"Placidium squamulosum","NHMSYS0001493873","Placidium squamulosum","Verrucariaceae","Fungi"
"Brigantiaea fuscolutea","NBNSYS0000018253","Brigantiaea fuscolutea","Brigantiaeaceae","Fungi"
"Alectoria nigricans","NBNSYS0000018167","Alectoria nigricans","Parmeliaceae","Fungi"
"Aspicilia subdepressa","NHMSYS0001475264","Aspicilia subdepressa","Megasporaceae","Fungi"
"Arthonia atlantica","NHMSYS0021576853","Reichlingia dendritica","Arthoniaceae","Fungi"
"Lecidella subviridis","BMSSYS0000010101","Lecidella subviridis","Lecanoraceae","Fungi"
"Teloschistes flavicans","NBNSYS0000020578","Teloschistes flavicans","Teloschistaceae","Fungi"
"Arthonia arthonioides","NBNSYS0000015487","Arthonia arthonioides","Arthoniaceae","Fungi"
"Lambiella sphacelata","BMSSYS0000046915","Lambiella sphacelata","Trapeliaceae","Fungi"
"Porina guentheri var. lucens","NBNSYS0000019890","Porina guentheri var. lucens","Porinaceae","Fungi"
"Rhizocarpon cinereovirens","NHMSYS0001496255","Rhizocarpon cinereovirens","Rhizocarpaceae","Fungi"
"Lepraria caesioalba","NHMSYS0020990493","Lepraria caesioalba","Stereocaulaceae","Fungi"
"Megalospora tuberculosa","NBNSYS0000018798","Megalospora tuberculosa","Megalosporaceae","Fungi"
"Caloplaca alstrupii","NHMSYS0020989878","Caloplaca alstrupii","Teloschistaceae","Fungi"
"Bacidia circumspecta","BMSSYS0000731210","Scutula circumspecta","Pilocarpaceae","Fungi"
"Trapelia obtegens","NHMSYS0001499948","Trapelia obtegens","Trapeliaceae","Fungi"
"Biatora beckhausii","BMSSYS0000042906","Biatora beckhausii","Ramalinaceae","Fungi"
"Candelariella superdistans","NHMSYS0001476796","Candelariella superdistans","Candelariaceae","Fungi"
"Usnea flavocardia","NHMSYS0001501164","Usnea flavocardia","Parmeliaceae","Fungi"
"Verrucaria margacea","NBNSYS0000020693","Verrucaria margacea","Verrucariaceae","Fungi"
"Tephromela atra var. atra","NHMSYS0001499452","Tephromela atra var. atra","Mycoblastaceae","Fungi"
"Lecidea diducens","NBNSYS0000018661","Lecidea diducens","Lecideaceae","Fungi"
"Multiclavula vernalis","NHMSYS0001489998","Multiclavula vernalis","Clavulinaceae","Fungi"
"Lecanora handelii","NHMSYS0001486386","Lecanora handelii","Lecanoraceae","Fungi"
"Ephebe hispidula","NBNSYS0000018478","Ephebe hispidula","Lichinaceae","Fungi"
"Pertusaria albescens var. corallina","NHMSYS0001492276","Pertusaria albescens var. corallina",,"Fungi"
"Opegrapha dolomitica","BMSSYS0000012427","Opegrapha dolomitica","Roccellaceae","Fungi"
"Porpidia macrocarpa f. nigrocruenta","NHMSYS0020990987","Porpidia macrocarpa f. nigrocruenta","Lecideaceae","Fungi"
"Cladonia maxima","NBNSYS0000018384","Cladonia maxima","Cladoniaceae","Fungi"
"Protoblastenia cyclospora","NHMSYS0001494800","Protoblastenia cyclospora","Psoraceae","Fungi"
"Squamarina lentigera","NBNSYS0000019050","Squamarina lentigera","Squamarinaceae","Fungi"
"Gyalecta jenensis var. jenensis","NHMSYS0001483302","Gyalecta jenensis var. jenensis","Gyalectaceae","Fungi"
"Cladonia cervicornis subsp. cervicornis","NBNSYS0000018354","Cladonia cervicornis","Cladoniaceae","Fungi"
"Polysporina subfuscescens","NHMSYS0021576493","Acarospora subfuscescens","Acarosporaceae","Fungi"
"Synalissa ramulosa","NHMSYS0001499310","Synalissa ramulosa","Lichinaceae","Fungi"
"Bryobilimbia ahlesii","BMSSYS0000043191","Bryobilimbia ahlesii",,"Fungi"
"Mycobilimbia pilularis","NHMSYS0021576748","Mycobilimbia sphaeroides","Lecideaceae","Fungi"
"Caloplaca irrubescens","NBNSYS0000020541","Caloplaca irrubescens","Teloschistaceae","Fungi"
"Usnea fulvoreagens","NHMSYS0001501171","Usnea fulvoreagens","Parmeliaceae","Fungi"
"Catapyrenium daedaleum","NHMSYS0000361750","Catapyrenium daedaleum","Verrucariaceae","Fungi"
"Opegrapha multipuncta","BMSSYS0000731236","Porina multipuncta","Porinaceae","Fungi"
"Icmadophila ericetorum","NBNSYS0000017478","Icmadophila ericetorum","Icmadophilaceae","Fungi"
"Parmelina tiliacea","NBNSYS0000153256","Parmelina tiliacea","Parmeliaceae","Fungi"
