"key"	"dataValue"	"taxonId"	"origTaxonId"	"preferredQualifiedTaxonName"	"preferredTaxon"	"preferredTaxonQualifier"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Rosa caesia subsp. vosagiaca (N.H.F.Desp.) D.H.Kent"	"0920002554"	"2cd4p9h.7mm4pq"	"2cd4p9h.mb9"	"Rosa vosagiaca (N.H.F.Desp.) Déségl."	"Rosa vosagiaca"		"Rosa caesia subsp. vosagiaca"				
"Rumex cuneifolius Campd."	"0920001744"	"2cd4p9h.7mm52e"	"2cd4p9h.7mm52e"	"Rumex cuneifolius Campd."	"Rumex cuneifolius"		"Rumex cuneifolius"				
"Rumex frutescens auct. non Thouars"	"0920001744"	"2cd4p9h.7mm52e"	"2cd4p9h.1rk"	"Rumex cuneifolius Campd."	"Rumex cuneifolius"		"Rumex frutescens"				
"Ruppia cirrhosa (Petagna) Grande"	"0920001759"	"2cd4p9h.7mm53b"	"2cd4p9h.p47"	"Ruppia spiralis L. ex Dumort."	"Ruppia spiralis"		"Ruppia cirrhosa"				
"Ruppia spiralis L. ex Dumort."	"0920001759"	"2cd4p9h.7mm53b"	"2cd4p9h.7mm53b"	"Ruppia spiralis L. ex Dumort."	"Ruppia spiralis"		"Ruppia spiralis"				
"Salicornia nitens P.W.Ball & Tutin"	"0920001778"	"2cd4p9h.7mm548"	"2cd4p9h.1s1"	"Salicornia emerici Duval-Jouve"	"Salicornia emerici"		"Salicornia nitens"				
"Salicornia disarticulata Moss"	"0920001780"	"2cd4p9h.7mm54v"	"2cd4p9h.7mm54v"	"Salicornia disarticulata Moss"	"Salicornia disarticulata"		"Salicornia disarticulata"				
"Salicornia pusilla Woods nom. inval."	"0920001780"	"2cd4p9h.7mm54v"	"2cd4p9h.1s4"	"Salicornia disarticulata Moss"	"Salicornia disarticulata"		"Salicornia pusilla"				
"Festuca arundinacea x pratensis = F. x aschersoniana Dörfl."	"0920002897"	"2cd4p9h.7mm5a8"	"2cd4p9h.pvn"	"Schedonorus pratensis x arundinaceus = S. x aschersonianus (Dörfl.) Holub"	"Schedonorus pratensis x arundinaceus = S. x aschersonianus"		"Festuca arundinacea x pratensis = F. x aschersoniana"				
"Festuca arundinacea x pratensis = F. x aschersoniana Dörfl."	"Vas_22462"	"2cd4p9h.7mm5a8"	"2cd4p9h.pvn"	"Schedonorus pratensis x arundinaceus = S. x aschersonianus (Dörfl.) Holub"	"Schedonorus pratensis x arundinaceus = S. x aschersonianus"		"Festuca arundinacea x pratensis = F. x aschersoniana"				
"Festuca arundinacea x gigantea = F. x fleischeri Rohlena"	"0920002899"	"2cd4p9h.7mm5aa"	"2cd4p9h.66y"	"Schedonorus arundinaceus x giganteus = S. x fleischeri (Rohlena) Holub"	"Schedonorus arundinaceus x giganteus = S. x fleischeri"		"Festuca arundinacea x gigantea = F. x fleischeri"				
"Festuca gigantea x pratensis = F. x schlickumii Grantzow"	"0920002898"	"2cd4p9h.7mm5ac"	"2cd4p9h.66x"	"Schedonorus pratensis x giganteus = S. x schlickumii (Grantzow) Holub"	"Schedonorus pratensis x giganteus = S. x schlickumii"		"Festuca gigantea x pratensis = F. x schlickumii"				
