"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Ranunculus aquatilis L. s.s."	"2cd4p9h.5vs"	"2cd4p9h.5vs"	"Ranunculus aquatilis L. s.s."	7	7	"Ranunculus aquatilis"	"s.s."			
"Ranunculus penicillatus (Dumort.) Bab."	"2cd4p9h.5w0"	"2cd4p9h.5w0"	"Ranunculus penicillatus (Dumort.) Bab."	8	8	"Ranunculus penicillatus"				
"Ranunculus auricomus L."	"2cd4p9h.5w3"	"2cd4p9h.5w3"	"Ranunculus auricomus L."	6	6	"Ranunculus auricomus"				
"Ranunculus baudotii Godr."	"2cd4p9h.5w6"	"2cd4p9h.5w6"	"Ranunculus baudotii Godr."	7	7	"Ranunculus baudotii"				
"Ranunculus bulbosus L."	"2cd4p9h.5w9"	"2cd4p9h.5w9"	"Ranunculus bulbosus L."	7	7	"Ranunculus bulbosus"				
"Raphanus raphanistrum subsp. maritimus (Sm.) Thell."	"2cd4p9h.5wv"	"2cd4p9h.5wv"	"Raphanus raphanistrum subsp. maritimus (Sm.) Thell."	7	7	"Raphanus raphanistrum subsp. maritimus"				
"Ribes alpinum L."	"2cd4p9h.5k5"	"2cd4p9h.5k5"	"Ribes alpinum L."	8	8	"Ribes alpinum"				
"Rosa pimpinellifolia L."	"2cd4p9h.5k8"	"2cd4p9h.7hxe53"	"Rosa pimpinellifolia L."	6	6	"Rosa pimpinellifolia"				
"Rosa mollis Sm. s.s."	"2cd4p9h.5kb"	"2cd4p9h.5kb"	"Rosa mollis Sm. s.s."	7	7	"Rosa mollis"	"s.s."			
"Rubus chamaemorus L."	"2cd4p9h.5kh"	"2cd4p9h.5kh"	"Rubus chamaemorus L."	1	1	"Rubus chamaemorus"				
"Rumex sanguineus L."	"2cd4p9h.5x1"	"2cd4p9h.5x1"	"Rumex sanguineus L."	7	7	"Rumex sanguineus"				
"Sagina subulata (Sw.) C.Presl"	"2cd4p9h.5x7"	"2cd4p9h.5x7"	"Sagina subulata (Sw.) C.Presl"	6	6	"Sagina subulata"				
"Sagittaria sagittifolia L."	"2cd4p9h.5xd"	"2cd4p9h.5xd"	"Sagittaria sagittifolia L."	7	7	"Sagittaria sagittifolia"				
"Salix triandra L."	"2cd4p9h.5xg"	"2cd4p9h.5xg"	"Salix triandra L."	7	7	"Salix triandra"				
"Salix viminalis L."	"2cd4p9h.5xw"	"2cd4p9h.5xw"	"Salix viminalis L."	6	6	"Salix viminalis"				
"Saponaria officinalis L."	"2cd4p9h.5xm"	"2cd4p9h.5xm"	"Saponaria officinalis L."	6	6	"Saponaria officinalis"				
"Trichophorum alpinum (L.) Pers."	"2cd4p9h.5xs"	"2cd4p9h.5xs"	"Trichophorum alpinum (L.) Pers."	2	2	"Trichophorum alpinum"				
"Scrophularia umbrosa Dumort."	"2cd4p9h.5m3"	"2cd4p9h.5m3"	"Scrophularia umbrosa Dumort."	7	7	"Scrophularia umbrosa"				
"Sherardia arvensis L."	"2cd4p9h.5mf"	"2cd4p9h.5mf"	"Sherardia arvensis L."	6	6	"Sherardia arvensis"				
"Danthonia decumbens (L.) DC."	"2cd4p9h.5mx"	"2cd4p9h.5mx"	"Danthonia decumbens (L.) DC."	4	4	"Danthonia decumbens"				
"Sinapis alba L."	"2cd4p9h.5n2"	"2cd4p9h.5n2"	"Sinapis alba L."	7	7	"Sinapis alba"				
"Sonchus asper (L.) Hill"	"2cd4p9h.5n5"	"2cd4p9h.5n5"	"Sonchus asper (L.) Hill"	7	7	"Sonchus asper"				
"Sorbus subcuneata Wilmott"	"2cd4p9h.5nb"	"2cd4p9h.5nb"	"Sorbus subcuneata Wilmott"	4	4	"Sorbus subcuneata"				
"Stellaria nemorum L."	"2cd4p9h.5nh"	"2cd4p9h.5nh"	"Stellaria nemorum L."	6	6	"Stellaria nemorum"				
"Thesium humifusum DC."	"2cd4p9h.5nn"	"2cd4p9h.5nn"	"Thesium humifusum DC."	8	8	"Thesium humifusum"				
"Thymus pulegioides L."	"2cd4p9h.5nt"	"2cd4p9h.5nt"	"Thymus pulegioides L."	8	8	"Thymus pulegioides"				
