"key"	"dataValue"	"taxonId"	"origTaxonId"	"preferredQualifiedTaxonName"	"preferredTaxon"	"preferredTaxonQualifier"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Saussurea alpina (L.) DC."	"scarce"	"2cd4p9h.w11"	"2cd4p9h.w11"	"Saussurea alpina (L.) DC."	"Saussurea alpina"		"Saussurea alpina"				
"Saxifraga hirculus L."	"rare"	"2cd4p9h.w14"	"2cd4p9h.w14"	"Saxifraga hirculus L."	"Saxifraga hirculus"		"Saxifraga hirculus"				
"Trifolium glomeratum L."	"rare"	"2cd4p9h.w4a"	"2cd4p9h.w4a"	"Trifolium glomeratum L."	"Trifolium glomeratum"		"Trifolium glomeratum"				
"Trifolium scabrum L."	"scarce"	"2cd4p9h.w4d"	"2cd4p9h.w4d"	"Trifolium scabrum L."	"Trifolium scabrum"		"Trifolium scabrum"				
"Trifolium subterraneum L."	"rare"	"2cd4p9h.w4w"	"2cd4p9h.w4w"	"Trifolium subterraneum L."	"Trifolium subterraneum"		"Trifolium subterraneum"				
"Valerianella rimosa Bastard"	"rare"	"2cd4p9h.w56"	"2cd4p9h.w56"	"Valerianella rimosa Bastard"	"Valerianella rimosa"		"Valerianella rimosa"				
"Viola lactea Sm."	"scarce"	"2cd4p9h.w5f"	"2cd4p9h.w5f"	"Viola lactea Sm."	"Viola lactea"		"Viola lactea"				
"Viola lutea Huds."	"rare"	"2cd4p9h.w5v"	"2cd4p9h.w5v"	"Viola lutea Huds."	"Viola lutea"		"Viola lutea"				
"Minuartia recurva (All.) Schinz & Thell."	"rare"	"2cd4p9h.w71"	"2cd4p9h.w71"	"Minuartia recurva (All.) Schinz & Thell."	"Minuartia recurva"		"Minuartia recurva"				
"Callitriche palustris L."	"rare"	"2cd4p9h.w74"	"2cd4p9h.w74"	"Callitriche palustris L."	"Callitriche palustris"		"Callitriche palustris"				
"Pyrus communis L. s.s."	"rare"	"2cd4p9h.k7v"	"2cd4p9h.k7v"	"Pyrus communis L. s.s."	"Pyrus communis"	"s.s."	"Pyrus communis"	"s.s."			
"Limonium binervosum (G.E.Sm.) C.E.Salmon s.s."	"rare"	"2cd4p9h.x4k"	"2cd4p9h.x4k"	"Limonium binervosum (G.E.Sm.) C.E.Salmon s.s."	"Limonium binervosum"	"s.s."	"Limonium binervosum"	"s.s."			
"Adiantum capillus-veneris L."	"scarce"	"2cd4p9h.x63"	"2cd4p9h.x63"	"Adiantum capillus-veneris L."	"Adiantum capillus-veneris"		"Adiantum capillus-veneris"				
"Equisetum pratense Ehrh."	"scarce"	"2cd4p9h.x6y"	"2cd4p9h.x6y"	"Equisetum pratense Ehrh."	"Equisetum pratense"		"Equisetum pratense"				
"Diphasiastrum alpinum (L.) Holub"	"scarce"	"2cd4p9h.x6r"	"2cd4p9h.x6r"	"Diphasiastrum alpinum (L.) Holub"	"Diphasiastrum alpinum"		"Diphasiastrum alpinum"				
"Thelypteris palustris Schott"	"scarce"	"2cd4p9h.x78"	"2cd4p9h.x78"	"Thelypteris palustris Schott"	"Thelypteris palustris"		"Thelypteris palustris"				
"Alchemilla alpina L."	"rare"	"2cd4p9h.x8s"	"2cd4p9h.x8s"	"Alchemilla alpina L."	"Alchemilla alpina"		"Alchemilla alpina"				
"Alchemilla filicaulis Buser subsp. filicaulis"	"rare"	"2cd4p9h.x93"	"2cd4p9h.x93"	"Alchemilla filicaulis Buser subsp. filicaulis"	"Alchemilla filicaulis subsp. filicaulis"		"Alchemilla filicaulis subsp. filicaulis"				
"Alopecurus aequalis Sobol."	"rare"	"2cd4p9h.x99"	"2cd4p9h.x99"	"Alopecurus aequalis Sobol."	"Alopecurus aequalis"		"Alopecurus aequalis"				
"Carex punctata Gaudin"	"scarce"	"2cd4p9h.xem"	"2cd4p9h.xem"	"Carex punctata Gaudin"	"Carex punctata"		"Carex punctata"				
"Erica vagans L."	"rare"	"2cd4p9h.xvy"	"2cd4p9h.xvy"	"Erica vagans L."	"Erica vagans"		"Erica vagans"				
"Erodium lebelii Jord."	"scarce"	"2cd4p9h.xvz"	"2cd4p9h.xvz"	"Erodium lebelii Jord."	"Erodium lebelii"		"Erodium lebelii"				
"Erodium maritimum (L.) L'Hér."	"scarce"	"2cd4p9h.xw2"	"2cd4p9h.xw2"	"Erodium maritimum (L.) L'Hér."	"Erodium maritimum"		"Erodium maritimum"				
"Euphrasia foulaensis F.Towns. ex Wettst."	"rare"	"2cd4p9h.xwn"	"2cd4p9h.xwn"	"Euphrasia foulaensis F.Towns. ex Wettst."	"Euphrasia foulaensis"		"Euphrasia foulaensis"				
"Euphrasia pseudokerneri Pugsley"	"rare"	"2cd4p9h.xwq"	"2cd4p9h.xwq"	"Euphrasia pseudokerneri Pugsley"	"Euphrasia pseudokerneri"		"Euphrasia pseudokerneri"				
"Festuca arenaria Osbeck"	"rare"	"2cd4p9h.xk4"	"2cd4p9h.xk4"	"Festuca arenaria Osbeck"	"Festuca arenaria"		"Festuca arenaria"				
"Fumaria densiflora DC."	"rare"	"2cd4p9h.xkw"	"2cd4p9h.xkw"	"Fumaria densiflora DC."	"Fumaria densiflora"		"Fumaria densiflora"				
"Hordeum secalinum Schreb."	"scarce"	"2cd4p9h.xmn"	"2cd4p9h.xmn"	"Hordeum secalinum Schreb."	"Hordeum secalinum"		"Hordeum secalinum"				
"Matthiola sinuata (L.) W.T.Aiton"	"rare"	"2cd4p9h.xpq"	"2cd4p9h.xpq"	"Matthiola sinuata (L.) W.T.Aiton"	"Matthiola sinuata"		"Matthiola sinuata"				
"Orobanche rapum-genistae Thuill."	"rare"	"2cd4p9h.xs2"	"2cd4p9h.xs2"	"Orobanche rapum-genistae Thuill."	"Orobanche rapum-genistae"		"Orobanche rapum-genistae"				
"Oxyria digyna (L.) Hill"	"scarce"	"2cd4p9h.xse"	"2cd4p9h.xse"	"Oxyria digyna (L.) Hill"	"Oxyria digyna"		"Oxyria digyna"				
"Salicornia fragilis P.W.Ball & Tutin"	"scarce"	"2cd4p9h.m26"	"2cd4p9h.m26"	"Salicornia fragilis P.W.Ball & Tutin"	"Salicornia fragilis"		"Salicornia fragilis"				
"Salix phylicifolia L."	"rare"	"2cd4p9h.m2f"	"2cd4p9h.m2f"	"Salix phylicifolia L."	"Salix phylicifolia"		"Salix phylicifolia"				
"Scilla verna Huds."	"scarce"	"2cd4p9h.m3h"	"2cd4p9h.m3h"	"Scilla verna Huds."	"Scilla verna"		"Scilla verna"				
"Scleranthus annuus L."	"rare"	"2cd4p9h.m3k"	"2cd4p9h.m3k"	"Scleranthus annuus L."	"Scleranthus annuus"		"Scleranthus annuus"				
