"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Convolvulus arvensis f. stonestreetii (Druce) Druce"		"2cd4p9h.aqkmg3"	"2cd4p9h.aqkmg3"	"Convolvulus arvensis f. stonestreetii (Druce) Druce"	"Convolvulus arvensis f. stonestreetii"	
"Cornus koenigii C.K.Schneid."		"2cd4p9h.aqkmg6"	"2cd4p9h.aqkmg6"	"Cornus koenigii C.K.Schneid."	"Cornus koenigii"	
"Cotoneaster astrophoros 'Donard Gem'"		"2cd4p9h.aqkmgf"	"2cd4p9h.aqkmgf"	"Cotoneaster astrophoros 'Donard Gem'"	"Cotoneaster astrophoros 'Donard Gem'"	
"Cotoneaster ignescens 'Firebird'"		"2cd4p9h.aqkmgv"	"2cd4p9h.aqkmgv"	"Cotoneaster ignescens 'Firebird'"	"Cotoneaster ignescens 'Firebird'"	
"Cotoneaster sherriffii 'Highlight'"		"2cd4p9h.aqkmgx"	"2cd4p9h.aqkmgx"	"Cotoneaster sherriffii 'Highlight'"	"Cotoneaster sherriffii 'Highlight'"	
"Cotoneaster wardii 'Gloire de Versailles'"		"2cd4p9h.aqkmgy"	"2cd4p9h.aqkmgy"	"Cotoneaster wardii 'Gloire de Versailles'"	"Cotoneaster wardii 'Gloire de Versailles'"	
"Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina"		"2cd4p9h.aqkmgz"	"2cd4p9h.aqkmgz"	"Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina"	"Crambe hispanica subsp. abyssinica"	
"Crataegus monogyna subsp. azarella (Griseb.) Franco"		"2cd4p9h.aqkmh8"	"2cd4p9h.aqkmh8"	"Crataegus monogyna subsp. azarella (Griseb.) Franco"	"Crataegus monogyna subsp. azarella"	
"Potentilla fruticosa L."		"2cd4p9h.aqkmhn"	"2cd4p9h.fxx"	"Dasiphora fruticosa (L.) Rydb."	"Potentilla fruticosa"	
"Datura stramonium var. chalybaca W.D.J.Koch"		"2cd4p9h.aqkmhq"	"2cd4p9h.aqkmhq"	"Datura stramonium var. chalybaca W.D.J.Koch"	"Datura stramonium var. chalybaca"	
"Daucus carota subsp. maximus (Desf.) Ball"		"2cd4p9h.aqkmva"	"2cd4p9h.aqkmva"	"Daucus carota subsp. maximus (Desf.) Ball"	"Daucus carota subsp. maximus"	
"Draba muralis L."		"2cd4p9h.aqkmvm"	"2cd4p9h.52b"	"Drabella muralis (L.) Fourr."	"Draba muralis"	
"Echinochloa microstachya (Wiegand) Rydb."		"2cd4p9h.aqkmvp"	"2cd4p9h.aqkmvp"	"Echinochloa microstachya (Wiegand) Rydb."	"Echinochloa microstachya"	
"Eranthis cilicica Schott & Kotschy"		"2cd4p9h.aqkmk8"	"2cd4p9h.aqkmk8"	"Eranthis cilicica Schott & Kotschy"	"Eranthis cilicica"	
"Foeniculum vulgare var. sativum C.Presl"		"2cd4p9h.aqkms9"	"2cd4p9h.aqkms9"	"Foeniculum vulgare var. sativum C.Presl"	"Foeniculum vulgare var. sativum"	
"Fuchsia 'Riccartonii'"		"2cd4p9h.aqkmtn"	"2cd4p9h.3n7"	"Fuchsia magellanica var. macrostema (Ruiz & Pav.) Munz"	"Fuchsia 'Riccartonii'"	
"Fuchsia magellanica var. macrostema (Ruiz & Pav.) Munz"		"2cd4p9h.aqkmtn"	"2cd4p9h.aqkmtn"	"Fuchsia magellanica var. macrostema (Ruiz & Pav.) Munz"	"Fuchsia magellanica var. macrostema"	
"Fuchsia magellanica Lam. var. magellanica"		"2cd4p9h.aqkmtq"	"2cd4p9h.aqkmtq"	"Fuchsia magellanica Lam. var. magellanica"	"Fuchsia magellanica var. magellanica"	
"Fumaria muralis subsp. boroei (Jord.) Pugsley"		"2cd4p9h.aqkmz1"	"2cd4p9h.aqkmz1"	"Fumaria muralis subsp. boroei (Jord.) Pugsley"	"Fumaria muralis subsp. boroei"	
"Galium spurium var. echinospermum (Wallr.) Hayek"		"2cd4p9h.aqkn00"	"2cd4p9h.aqkn00"	"Galium spurium var. echinospermum (Wallr.) Hayek"	"Galium spurium var. echinospermum"	
"Genista hispanica L. subsp. hispanica"		"2cd4p9h.aqkn03"	"2cd4p9h.aqkn03"	"Genista hispanica L. subsp. hispanica"	"Genista hispanica subsp. hispanica"	
"Hedera maroccana McAllister"		"2cd4p9h.aqkn3x"	"2cd4p9h.aqkn3x"	"Hedera maroccana McAllister"	"Hedera maroccana"	
"Heracleum branca-ursina All."		"2cd4p9h.aqkn3y"	"2cd4p9h.aqkn3y"	"Heracleum branca-ursina All."	"Heracleum branca-ursina"	
"Senecio aquaticus Hill"		"2cd4p9h.aqkn5p"	"2cd4p9h.p62"	"Jacobaea aquatica (Hill) G.Gaertn., B.Mey. & Scherb."	"Senecio aquaticus"	
"Senecio aquaticus Hill subsp. aquaticus"		"2cd4p9h.aqkn5s"	"2cd4p9h.7mxt4b"	"Jacobaea aquatica (Hill) G.Gaertn., B.Mey. & Scherb. subsp. aquatica"	"Senecio aquaticus subsp. aquaticus"	
"Senecio aquaticus subsp. erraticus (Bertol.) V.A.Matthews"		"2cd4p9h.aqkn60"	"2cd4p9h.7mxt4d"	"Jacobaea aquatica subsp. erratica (Bertol.) Pelser & Meijden"	"Senecio aquaticus subsp. erraticus"	
"Senecio erucifolius L."		"2cd4p9h.aqkn63"	"2cd4p9h.fqg"	"Jacobaea erucifolia (L.) G.Gaertn., B.Mey. & Scherb."	"Senecio erucifolius"	
"Senecio cineraria DC."		"2cd4p9h.aqkn66"	"2cd4p9h.fqa"	"Jacobaea maritima (L.) Pelser & Meijden"	"Senecio cineraria"	
"Senecio jacobaea L."		"2cd4p9h.aqkn6c"	"2cd4p9h.98p"	"Jacobaea vulgaris Gaertn."	"Senecio jacobaea"	
"Senecio jacobaea subsp. dunensis (Dumort.) Kadereit & P.D.Sell"		"2cd4p9h.aqkn6f"	"2cd4p9h.7ty"	"Jacobaea vulgaris subsp. dunensis (Dumort.) Pelser & Meijden"	"Senecio jacobaea subsp. dunensis"	
"Radiola linoides Roth"		"2cd4p9h.aqkn9r"	"2cd4p9h.1yb"	"Linum radiola L."	"Radiola linoides"	
"Dorycnium pentaphyllum Scop."		"2cd4p9h.aqknb7"	"2cd4p9h.3hkwem"	"Lotus dorycnium L."	"Dorycnium pentaphyllum"	
"Dorycnium rectum (L.) Ser."		"2cd4p9h.aqknbg"	"2cd4p9h.3hkwep"	"Lotus rectus L."	"Dorycnium rectum"	
"Glaux maritima L."		"2cd4p9h.aqkncc"	"2cd4p9h.fba"	"Lysimachia maritima (L.) Galasso, Banfi & Soldano"	"Glaux maritima"	
"Madia pungens (Hook. & Arn.) Torr. & A.Gray"		"2cd4p9h.aqkncx"	"2cd4p9h.aqkncx"	"Madia pungens (Hook. & Arn.) Torr. & A.Gray"	"Madia pungens"	
"Mentha spicata var. scotica (R.A.Graham) P.D.Sell"		"2cd4p9h.aqkne7"	"2cd4p9h.aqkne7"	"Mentha spicata var. scotica (R.A.Graham) P.D.Sell"	"Mentha spicata var. scotica"	
"Saxifraga nivalis L."		"2cd4p9h.aqknem"	"2cd4p9h.w17"	"Micranthes nivalis (L.) Small"	"Saxifraga nivalis"	
"Saxifraga stellaris L."		"2cd4p9h.aqknep"	"2cd4p9h.1ze"	"Micranthes stellaris (L.) Galasso, Banfi & Soldano"	"Saxifraga stellaris"	
"Myosotis ramosissima subsp. lebelii (Godr.) Blaise"		"2cd4p9h.aqknfx"	"2cd4p9h.aqknfx"	"Myosotis ramosissima subsp. lebelii (Godr.) Blaise"	"Myosotis ramosissima subsp. lebelii"	
"Stephanandra incisa (Thunb.) Zabel"		"2cd4p9h.aqkngb"	"2cd4p9h.3hx5xc"	"Neillia incisa (Thunb.) S.H.Oh"	"Stephanandra incisa"	
"Neslia apiculata Fisch., C.A.Mey. & Avé-Lall."		"2cd4p9h.aqknge"	"2cd4p9h.aqknge"	"Neslia apiculata Fisch., C.A.Mey. & Avé-Lall."	"Neslia apiculata"	
"Oenanthe javanica (Blume) DC."		"2cd4p9h.aqkngt"	"2cd4p9h.aqkngt"	"Oenanthe javanica (Blume) DC."	"Oenanthe javanica"	
