"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Potentilla norvegica L."		"2cd4p9h.94h"	"2cd4p9h.94h"	"Potentilla norvegica L."	"Potentilla norvegica"	
"Potentilla reptans L."		"2cd4p9h.94k"	"2cd4p9h.94k"	"Potentilla reptans L."	"Potentilla reptans"	
"Primula farinosa L."		"2cd4p9h.94n"	"2cd4p9h.94n"	"Primula farinosa L."	"Primula farinosa"	
"Primula scotica Hook."		"2cd4p9h.94q"	"2cd4p9h.94q"	"Primula scotica Hook."	"Primula scotica"	
"Primula veris L."		"2cd4p9h.94t"	"2cd4p9h.94t"	"Primula veris L."	"Primula veris"	
"Pseudotsuga menziesii (Mirb.) Franco"		"2cd4p9h.954"	"2cd4p9h.954"	"Pseudotsuga menziesii (Mirb.) Franco"	"Pseudotsuga menziesii"	
"Puccinellia distans subsp. borealis (Holmb.) W.E.Hughes"		"2cd4p9h.95a"	"2cd4p9h.95a"	"Puccinellia distans subsp. borealis (Holmb.) W.E.Hughes"	"Puccinellia distans subsp. borealis"	
"Puccinellia rupestris (With.) Fernald & Weath."		"2cd4p9h.95d"	"2cd4p9h.95d"	"Puccinellia rupestris (With.) Fernald & Weath."	"Puccinellia rupestris"	
"Pyrola media Sw."		"2cd4p9h.95g"	"2cd4p9h.95g"	"Pyrola media Sw."	"Pyrola media"	
"Pyrola rotundifolia L. subsp. rotundifolia"		"2cd4p9h.95w"	"2cd4p9h.95w"	"Pyrola rotundifolia L. subsp. rotundifolia"	"Pyrola rotundifolia subsp. rotundifolia"	
"Quercus cerris x suber = Q. x crenata Lam."		"2cd4p9h.95m"	"2cd4p9h.95m"	"Quercus cerris x suber = Q. x crenata Lam."	"Quercus cerris x suber = Q. x crenata"	
"Ranunculus penicillatus (Dumort.) Bab. subsp. penicillatus"		"2cd4p9h.95s"	"2cd4p9h.95s"	"Ranunculus penicillatus (Dumort.) Bab. subsp. penicillatus"	"Ranunculus penicillatus subsp. penicillatus"	
"Ranunculus fluitans Lam."		"2cd4p9h.960"	"2cd4p9h.960"	"Ranunculus fluitans Lam."	"Ranunculus fluitans"	
"Ranunculus sceleratus L."		"2cd4p9h.963"	"2cd4p9h.963"	"Ranunculus sceleratus L."	"Ranunculus sceleratus"	
"Rhinanthus minor L."		"2cd4p9h.966"	"2cd4p9h.966"	"Rhinanthus minor L."	"Rhinanthus minor"	
"Rhinanthus minor subsp. lintonii (Wilmott) P.D.Sell"		"2cd4p9h.969"	"2cd4p9h.969"	"Rhinanthus minor subsp. lintonii (Wilmott) P.D.Sell"	"Rhinanthus minor subsp. lintonii"	
"Rosa arvensis Huds."		"2cd4p9h.96c"	"2cd4p9h.96c"	"Rosa arvensis Huds."	"Rosa arvensis"	
"Rosa rugosa Thunb."		"2cd4p9h.96f"	"2cd4p9h.96f"	"Rosa rugosa Thunb."	"Rosa rugosa"	
"Rosa sherardii Davies"		"2cd4p9h.96v"	"2cd4p9h.96v"	"Rosa sherardii Davies"	"Rosa sherardii"	
"Rumex crispus L."		"2cd4p9h.96x"	"2cd4p9h.96x"	"Rumex crispus L."	"Rumex crispus"	
"Rumex patientia subsp. orientalis Danser"		"2cd4p9h.96r"	"2cd4p9h.96r"	"Rumex patientia subsp. orientalis Danser"	"Rumex patientia subsp. orientalis"	
"Sagittaria rigida Pursh"		"2cd4p9h.96z"	"2cd4p9h.96z"	"Sagittaria rigida Pursh"	"Sagittaria rigida"	
"Salix alba var. vitellina (L.) Stokes"		"2cd4p9h.972"	"2cd4p9h.972"	"Salix alba var. vitellina (L.) Stokes"	"Salix alba var. vitellina"	
"Salix caprea x cinerea x viminalis = S. x calodendron Wimm."		"2cd4p9h.975"	"2cd4p9h.975"	"Salix caprea x cinerea x viminalis = S. x calodendron Wimm."	"Salix caprea x cinerea x viminalis = S. x calodendron"	
"Salix myrsinifolia Salisb."		"2cd4p9h.978"	"2cd4p9h.978"	"Salix myrsinifolia Salisb."	"Salix myrsinifolia"	
"Salix pentandra L."		"2cd4p9h.97b"	"2cd4p9h.97b"	"Salix pentandra L."	"Salix pentandra"	
"Salix reticulata L."		"2cd4p9h.97e"	"2cd4p9h.97e"	"Salix reticulata L."	"Salix reticulata"	
"Sambucus ebulus L."		"2cd4p9h.97h"	"2cd4p9h.97h"	"Sambucus ebulus L."	"Sambucus ebulus"	
"Sanguisorba officinalis L."		"2cd4p9h.97n"	"2cd4p9h.97n"	"Sanguisorba officinalis L."	"Sanguisorba officinalis"	
"Sanicula europaea L."		"2cd4p9h.97t"	"2cd4p9h.97t"	"Sanicula europaea L."	"Sanicula europaea"	
"Saxifraga hirsuta x spathularis = S. x polita (Haw.) Link"		"2cd4p9h.981"	"2cd4p9h.981"	"Saxifraga hirsuta x spathularis = S. x polita (Haw.) Link"	"Saxifraga hirsuta x spathularis = S. x polita"	
"Saxifraga rivularis L."		"2cd4p9h.984"	"2cd4p9h.984"	"Saxifraga rivularis L."	"Saxifraga rivularis"	
"Selinum carvifolia (L.) L."		"2cd4p9h.98w"	"2cd4p9h.98w"	"Selinum carvifolia (L.) L."	"Selinum carvifolia"	
"Senecio sylvaticus L."		"2cd4p9h.98s"	"2cd4p9h.98s"	"Senecio sylvaticus L."	"Senecio sylvaticus"	
"Senecio viscosus L."		"2cd4p9h.990"	"2cd4p9h.990"	"Senecio viscosus L."	"Senecio viscosus"	
"Silene otites (L.) Wibel"		"2cd4p9h.99c"	"2cd4p9h.99c"	"Silene otites (L.) Wibel"	"Silene otites"	
"Sinapis arvensis L."		"2cd4p9h.99f"	"2cd4p9h.99f"	"Sinapis arvensis L."	"Sinapis arvensis"	
"Sisymbrium altissimum L."		"2cd4p9h.99v"	"2cd4p9h.99v"	"Sisymbrium altissimum L."	"Sisymbrium altissimum"	
"Sisymbrium officinale (L.) Scop."		"2cd4p9h.99x"	"2cd4p9h.99x"	"Sisymbrium officinale (L.) Scop."	"Sisymbrium officinale"	
"Sisymbrium orientale L."		"2cd4p9h.99y"	"2cd4p9h.99y"	"Sisymbrium orientale L."	"Sisymbrium orientale"	
"Sium latifolium L."		"2cd4p9h.99z"	"2cd4p9h.99z"	"Sium latifolium L."	"Sium latifolium"	
"Solanum triflorum Nutt."		"2cd4p9h.9a2"	"2cd4p9h.9a2"	"Solanum triflorum Nutt."	"Solanum triflorum"	
"Sorbus devoniensis E.F.Warb."		"2cd4p9h.9a5"	"2cd4p9h.9a5"	"Sorbus devoniensis E.F.Warb."	"Sorbus devoniensis"	
"Sorbus porrigentiformis E.F.Warb."		"2cd4p9h.9ab"	"2cd4p9h.9ab"	"Sorbus porrigentiformis E.F.Warb."	"Sorbus porrigentiformis"	
"Spartina maritima (Curtis) Fernald"		"2cd4p9h.9ak"	"2cd4p9h.9ak"	"Spartina maritima (Curtis) Fernald"	"Spartina maritima"	
"Symphytum tuberosum L."		"2cd4p9h.9at"	"2cd4p9h.9at"	"Symphytum tuberosum L."	"Symphytum tuberosum"	
"Tanacetum vulgare L."		"2cd4p9h.9b1"	"2cd4p9h.9b1"	"Tanacetum vulgare L."	"Tanacetum vulgare"	
"Taxus baccata L."		"2cd4p9h.9b7"	"2cd4p9h.9b7"	"Taxus baccata L."	"Taxus baccata"	
"Thalictrum alpinum L."		"2cd4p9h.9bg"	"2cd4p9h.9bg"	"Thalictrum alpinum L."	"Thalictrum alpinum"	
"Trifolium incarnatum L. subsp. incarnatum"		"2cd4p9h.9bw"	"2cd4p9h.9bw"	"Trifolium incarnatum L. subsp. incarnatum"	"Trifolium incarnatum subsp. incarnatum"	
"Typha latifolia L."		"2cd4p9h.9bp"	"2cd4p9h.9bp"	"Typha latifolia L."	"Typha latifolia"	
"Urtica dioica L."		"2cd4p9h.9c0"	"2cd4p9h.9c0"	"Urtica dioica L."	"Urtica dioica"	
"Urtica pilulifera L."		"2cd4p9h.9c3"	"2cd4p9h.9c3"	"Urtica pilulifera L."	"Urtica pilulifera"	
"Verbascum pulverulentum Vill."		"2cd4p9h.9c6"	"2cd4p9h.9c6"	"Verbascum pulverulentum Vill."	"Verbascum pulverulentum"	
"Veronica anagallis-aquatica L."		"2cd4p9h.9c9"	"2cd4p9h.9c9"	"Veronica anagallis-aquatica L."	"Veronica anagallis-aquatica"	
"Veronica scutellata L."		"2cd4p9h.9cc"	"2cd4p9h.9cc"	"Veronica scutellata L."	"Veronica scutellata"	
"Veronica scutellata L. var. scutellata"		"2cd4p9h.9cv"	"2cd4p9h.9cv"	"Veronica scutellata L. var. scutellata"	"Veronica scutellata var. scutellata"	
"Vicia bithynica (L.) L."		"2cd4p9h.9cx"	"2cd4p9h.9cx"	"Vicia bithynica (L.) L."	"Vicia bithynica"	
"Vicia tenuifolia Roth"		"2cd4p9h.9cy"	"2cd4p9h.9cy"	"Vicia tenuifolia Roth"	"Vicia tenuifolia"	
"Viola arvensis Murray"		"2cd4p9h.9cr"	"2cd4p9h.9cr"	"Viola arvensis Murray"	"Viola arvensis"	
"Viola canina L."		"2cd4p9h.9cz"	"2cd4p9h.9cz"	"Viola canina L."	"Viola canina"	
"Viola hirta L."		"2cd4p9h.9d2"	"2cd4p9h.9d2"	"Viola hirta L."	"Viola hirta"	
"Vulpia fasciculata (Forssk.) Fritsch"		"2cd4p9h.9d5"	"2cd4p9h.9d5"	"Vulpia fasciculata (Forssk.) Fritsch"	"Vulpia fasciculata"	
"Gaultheria mucronata (L.f.) Hook. & Arn."		"2cd4p9h.9d8"	"2cd4p9h.9d8"	"Gaultheria mucronata (L.f.) Hook. & Arn."	"Gaultheria mucronata"	
"Alchemilla mollis (Buser) Rothm."		"2cd4p9h.9db"	"2cd4p9h.9db"	"Alchemilla mollis (Buser) Rothm."	"Alchemilla mollis"	
"Hypericum canadense L."		"2cd4p9h.9de"	"2cd4p9h.9de"	"Hypericum canadense L."	"Hypericum canadense"	
"Eleocharis mamillata subsp. austriaca (Hayek) Strandh."		"2cd4p9h.9dh"	"2cd4p9h.9dh"	"Eleocharis mamillata subsp. austriaca (Hayek) Strandh."	"Eleocharis mamillata subsp. austriaca"	
"Spartina anglica C.E.Hubb."		"2cd4p9h.9dk"	"2cd4p9h.9dk"	"Spartina anglica C.E.Hubb."	"Spartina anglica"	
"Larix decidua x kaempferi = L. x marschlinsii Coaz"		"2cd4p9h.9dn"	"2cd4p9h.9dn"	"Larix decidua x kaempferi = L. x marschlinsii Coaz"	"Larix decidua x kaempferi = L. x marschlinsii"	
"Salix myrsinifolia x repens = S. x felina Buser ex E.G.Camus & A.Camus"		"2cd4p9h.9e1"	"2cd4p9h.9e1"	"Salix myrsinifolia x repens = S. x felina Buser ex E.G.Camus & A.Camus"	"Salix myrsinifolia x repens = S. x felina"	
"Salix aurita x lapponum = S. x obtusifolia Willd."		"2cd4p9h.9e4"	"2cd4p9h.9e4"	"Salix aurita x lapponum = S. x obtusifolia Willd."	"Salix aurita x lapponum = S. x obtusifolia"	
"Salix repens x lapponum"		"2cd4p9h.9e7"	"2cd4p9h.9e7"	"Salix repens x lapponum"	"Salix repens x lapponum"	
"Salix alba var. vitellina x babylonica = Salix x sepulcralis nothovar. chrysocoma (Dode) Meikle"		"2cd4p9h.9ew"	"2cd4p9h.w7s"	"Salix alba var. alba x babylonica = Salix x sepulcralis nothovar. sepulcralis Simonk."	"Salix alba var. vitellina x babylonica = Salix x sepulcralis nothovar. chrysocoma"	
"Salix babylonica L."		"2cd4p9h.9es"	"2cd4p9h.9es"	"Salix babylonica L."	"Salix babylonica"	
"Disphyma crassifolium (L.) L.Bolus"		"2cd4p9h.9f3"	"2cd4p9h.9f3"	"Disphyma crassifolium (L.) L.Bolus"	"Disphyma crassifolium"	
"Iberis umbellata L."		"2cd4p9h.9f9"	"2cd4p9h.9f9"	"Iberis umbellata L."	"Iberis umbellata"	
"Laurus nobilis L."		"2cd4p9h.9ff"	"2cd4p9h.9ff"	"Laurus nobilis L."	"Laurus nobilis"	
"Tellima grandiflora (Pursh) Douglas ex Lindl."		"2cd4p9h.9fx"	"2cd4p9h.9fx"	"Tellima grandiflora (Pursh) Douglas ex Lindl."	"Tellima grandiflora"	
"Berberis buxifolia Lam."		"2cd4p9h.9fy"	"2cd4p9h.9fy"	"Berberis buxifolia Lam."	"Berberis buxifolia"	
"Rumex obtusifolius x sanguineus = R. x dufftii Hausskn."		"2cd4p9h.9fr"	"2cd4p9h.9fr"	"Rumex obtusifolius x sanguineus = R. x dufftii Hausskn."	"Rumex obtusifolius x sanguineus = R. x dufftii"	
"Rumex confertus x crispus = R. x skofitzii Blocki"		"2cd4p9h.9fz"	"2cd4p9h.9fz"	"Rumex confertus x crispus = R. x skofitzii Blocki"	"Rumex confertus x crispus = R. x skofitzii"	
"Rumex hydrolapathum x obtusifolius = R. x weberi Fisch.-Benz."		"2cd4p9h.9g2"	"2cd4p9h.9g2"	"Rumex hydrolapathum x obtusifolius = R. x weberi Fisch.-Benz."	"Rumex hydrolapathum x obtusifolius = R. x weberi"	
"Potamogeton alpinus x praelongus = P. x griffithii A.Benn."		"2cd4p9h.9g5"	"2cd4p9h.9g5"	"Potamogeton alpinus x praelongus = P. x griffithii A.Benn."	"Potamogeton alpinus x praelongus = P. x griffithii"	
"Atriplex x gustafssoniana Tascher. var. gustafssoniana"		"2cd4p9h.9g8"	"2cd4p9h.9g8"	"Atriplex x gustafssoniana Tascher. var. gustafssoniana"	"Atriplex x gustafssoniana var. gustafssoniana"	
"Vicia sativa L."		"2cd4p9h.9gb"	"2cd4p9h.9gb"	"Vicia sativa L."	"Vicia sativa"	
"Limonium britannicum Ingr."		"2cd4p9h.9ge"	"2cd4p9h.9ge"	"Limonium britannicum Ingr."	"Limonium britannicum"	
"Brassica juncea (L.) Czern."		"2cd4p9h.9h4"	"2cd4p9h.9h4"	"Brassica juncea (L.) Czern."	"Brassica juncea"	
"Neslia paniculata (L.) Desv."		"2cd4p9h.9h7"	"2cd4p9h.9h7"	"Neslia paniculata (L.) Desv."	"Neslia paniculata"	
"Carex hostiana x oederi = C. x appeliana Zahn"		"2cd4p9h.9hg"	"2cd4p9h.7mm0kr"	"Carex hostiana x viridula = C. x appeliana Zahn"	"Carex hostiana x oederi = C. x appeliana"	
"Sorbus latifolia (Lam.) Pers. s.s."		"2cd4p9h.9hm"	"2cd4p9h.9hm"	"Sorbus latifolia (Lam.) Pers. s.s."	"Sorbus latifolia"	"s.s."
"Mentha longifolia x suaveolens = M. x rotundifolia (L.) Huds."		"2cd4p9h.9hp"	"2cd4p9h.9hp"	"Mentha longifolia x suaveolens = M. x rotundifolia (L.) Huds."	"Mentha longifolia x suaveolens = M. x rotundifolia"	
"Bidens frondosa L."		"2cd4p9h.9v0"	"2cd4p9h.9v0"	"Bidens frondosa L."	"Bidens frondosa"	
"Spiraea douglasii Hook."		"2cd4p9h.9v3"	"2cd4p9h.9v3"	"Spiraea douglasii Hook."	"Spiraea douglasii"	
"Spiraea douglasii Hook. subsp. douglasii"		"2cd4p9h.9v9"	"2cd4p9h.9v9"	"Spiraea douglasii Hook. subsp. douglasii"	"Spiraea douglasii subsp. douglasii"	
"Ononis repens x spinosa = O. x pseudohircina Schur"		"2cd4p9h.9vf"	"2cd4p9h.9vf"	"Ononis repens x spinosa = O. x pseudohircina Schur"	"Ononis repens x spinosa = O. x pseudohircina"	
"Prunus domestica x spinosa = P. x fruticans Weihe"		"2cd4p9h.9vv"	"2cd4p9h.9vv"	"Prunus domestica x spinosa = P. x fruticans Weihe"	"Prunus domestica x spinosa = P. x fruticans"	
"Potentilla anglica x erecta = P. x suberecta Zimmeter"		"2cd4p9h.9vx"	"2cd4p9h.9vx"	"Potentilla anglica x erecta = P. x suberecta Zimmeter"	"Potentilla anglica x erecta = P. x suberecta"	
"Rosa canina x micrantha = R. x toddiae Wolley-Dod"		"2cd4p9h.9wb"	"2cd4p9h.9wb"	"Rosa canina x micrantha = R. x toddiae Wolley-Dod"	"Rosa canina x micrantha = R. x toddiae"	
"Rosa rubiginosa x tomentosa = R. x avrayensis Rouy"		"2cd4p9h.9we"	"2cd4p9h.9we"	"Rosa rubiginosa x tomentosa = R. x avrayensis Rouy"	"Rosa rubiginosa x tomentosa = R. x avrayensis"	
"Epilobium ciliatum x hirsutum = E. x novae-civitatis Smejkal"		"2cd4p9h.9wk"	"2cd4p9h.9wk"	"Epilobium ciliatum x hirsutum = E. x novae-civitatis Smejkal"	"Epilobium ciliatum x hirsutum = E. x novae-civitatis"	
"Epilobium parviflorum x tetragonum = E. x palatinum F.W.Schultz"		"2cd4p9h.9wn"	"2cd4p9h.9wn"	"Epilobium parviflorum x tetragonum = E. x palatinum F.W.Schultz"	"Epilobium parviflorum x tetragonum = E. x palatinum"	
"Epilobium palustre x parviflorum = E. x rivulare Wahlenb."		"2cd4p9h.9wq"	"2cd4p9h.9wq"	"Epilobium palustre x parviflorum = E. x rivulare Wahlenb."	"Epilobium palustre x parviflorum = E. x rivulare"	
"Epilobium roseum x ciliatum = E. x nutantiflorum Smejkal"		"2cd4p9h.9wt"	"2cd4p9h.9wt"	"Epilobium roseum x ciliatum = E. x nutantiflorum Smejkal"	"Epilobium roseum x ciliatum = E. x nutantiflorum"	
"Epilobium anagallidifolium x obscurum = E. x marshallianum Hausskn."		"2cd4p9h.9k1"	"2cd4p9h.9k1"	"Epilobium anagallidifolium x obscurum = E. x marshallianum Hausskn."	"Epilobium anagallidifolium x obscurum = E. x marshallianum"	
"Epilobium alsinifolium x obscurum = E. x rivulicola Hausskn."		"2cd4p9h.9k4"	"2cd4p9h.9k4"	"Epilobium alsinifolium x obscurum = E. x rivulicola Hausskn."	"Epilobium alsinifolium x obscurum = E. x rivulicola"	
"Persicaria minor x mitis = P. x wilmsii (Beck) Soják"		"2cd4p9h.9k7"	"2cd4p9h.9k7"	"Persicaria minor x mitis = P. x wilmsii (Beck) Soják"	"Persicaria minor x mitis = P. x wilmsii"	
"Verbascum pulverulentum x thapsus = V. x godronii Boreau"		"2cd4p9h.9kd"	"2cd4p9h.9kd"	"Verbascum pulverulentum x thapsus = V. x godronii Boreau"	"Verbascum pulverulentum x thapsus = V. x godronii"	
"Senecio sylvaticus x viscosus = S. x viscidulus Scheele"		"2cd4p9h.9kg"	"2cd4p9h.9kg"	"Senecio sylvaticus x viscosus = S. x viscidulus Scheele"	"Senecio sylvaticus x viscosus = S. x viscidulus"	
"Alisma lanceolatum x plantago-aquatica = A. x rhicnocarpum Schotsman"		"2cd4p9h.9kp"	"2cd4p9h.9kp"	"Alisma lanceolatum x plantago-aquatica = A. x rhicnocarpum Schotsman"	"Alisma lanceolatum x plantago-aquatica = A. x rhicnocarpum"	
"Ophrys insectifera x sphegodes = O. x hybrida Pokorny"		"2cd4p9h.9ks"	"2cd4p9h.9ks"	"Ophrys insectifera x sphegodes = O. x hybrida Pokorny"	"Ophrys insectifera x sphegodes = O. x hybrida"	
"Dactylorhiza fuchsii x maculata = D. x transiens (Druce) Soó"		"2cd4p9h.9x0"	"2cd4p9h.9x0"	"Dactylorhiza fuchsii x maculata = D. x transiens (Druce) Soó"	"Dactylorhiza fuchsii x maculata = D. x transiens"	
"Dactylorhiza fuchsii x incarnata = D. x kernerorum (Soó) Soó"		"2cd4p9h.9x3"	"2cd4p9h.9x3"	"Dactylorhiza fuchsii x incarnata = D. x kernerorum (Soó) Soó"	"Dactylorhiza fuchsii x incarnata = D. x kernerorum"	
"Carex hirta x vesicaria = C. x grossii Fiek"		"2cd4p9h.9x6"	"2cd4p9h.9x6"	"Carex hirta x vesicaria = C. x grossii Fiek"	"Carex hirta x vesicaria = C. x grossii"	
"Carex lasiocarpa x riparia = C. x evoluta Hartm."		"2cd4p9h.9x9"	"2cd4p9h.9x9"	"Carex lasiocarpa x riparia = C. x evoluta Hartm."	"Carex lasiocarpa x riparia = C. x evoluta"	
"Agrostis capillaris x stolonifera = A. x murbeckii Fouill."		"2cd4p9h.9xx"	"2cd4p9h.9xx"	"Agrostis capillaris x stolonifera = A. x murbeckii Fouill."	"Agrostis capillaris x stolonifera = A. x murbeckii"	
"Cotoneaster bullatus Bois"		"2cd4p9h.9xy"	"2cd4p9h.9xy"	"Cotoneaster bullatus Bois"	"Cotoneaster bullatus"	
"Cotoneaster dielsianus E.Pritz. ex Diels"		"2cd4p9h.9xr"	"2cd4p9h.9xr"	"Cotoneaster dielsianus E.Pritz. ex Diels"	"Cotoneaster dielsianus"	
"Cotoneaster nanshan M.Vilm. ex Mottet"		"2cd4p9h.9xz"	"2cd4p9h.9xz"	"Cotoneaster nanshan M.Vilm. ex Mottet"	"Cotoneaster nanshan"	
"Cotoneaster nitens Rehder & E.H.Wilson"		"2cd4p9h.9m2"	"2cd4p9h.9m2"	"Cotoneaster nitens Rehder & E.H.Wilson"	"Cotoneaster nitens"	
"Cotoneaster perpusillus (C.K.Schneid.) Flinck & B.Hylmö"		"2cd4p9h.9m5"	"2cd4p9h.9m5"	"Cotoneaster perpusillus (C.K.Schneid.) Flinck & B.Hylmö"	"Cotoneaster perpusillus"	
"Cotoneaster villosulus (Rehder & E.H.Wilson) Flinck & B.Hylmö"		"2cd4p9h.9m8"	"2cd4p9h.9m8"	"Cotoneaster villosulus (Rehder & E.H.Wilson) Flinck & B.Hylmö"	"Cotoneaster villosulus"	
"Euphorbia esula x waldsteinii = E. x pseudovirgata (Schur) Soó"		"2cd4p9h.9mh"	"2cd4p9h.9mh"	"Euphorbia esula x waldsteinii = E. x pseudovirgata (Schur) Soó"	"Euphorbia esula x waldsteinii = E. x pseudovirgata"	
"Phalaris brachystachys Link"		"2cd4p9h.9mk"	"2cd4p9h.9mk"	"Phalaris brachystachys Link"	"Phalaris brachystachys"	
"Pilosella flagellaris (Willd.) P.D.Sell & C.West"		"2cd4p9h.9n1"	"2cd4p9h.9n1"	"Pilosella flagellaris (Willd.) P.D.Sell & C.West"	"Pilosella flagellaris"	
"Pilosella praealta subsp. thaumasia (Peter) P.D.Sell"		"2cd4p9h.9np"	"2cd4p9h.9np"	"Pilosella praealta subsp. thaumasia (Peter) P.D.Sell"	"Pilosella praealta subsp. thaumasia"	
"Chloris virgata Sw."		"2cd4p9h.9yx"	"2cd4p9h.9yx"	"Chloris virgata Sw."	"Chloris virgata"	
"Urochloa panicoides P.Beauv."		"2cd4p9h.9pt"	"2cd4p9h.9pt"	"Urochloa panicoides P.Beauv."	"Urochloa panicoides"	
"Cotoneaster astrophoros J.Fryer & E.C.Nelson"		"2cd4p9h.9qp"	"2cd4p9h.9qp"	"Cotoneaster astrophoros J.Fryer & E.C.Nelson"	"Cotoneaster astrophoros"	
"Cotoneaster boisianus G.Klotz"		"2cd4p9h.9qs"	"2cd4p9h.9qs"	"Cotoneaster boisianus G.Klotz"	"Cotoneaster boisianus"	
"Cotoneaster cooperi C.Marquand"		"2cd4p9h.9r0"	"2cd4p9h.9r0"	"Cotoneaster cooperi C.Marquand"	"Cotoneaster cooperi"	
"Cotoneaster sherriffii G.Klotz"		"2cd4p9h.9r9"	"2cd4p9h.9r9"	"Cotoneaster sherriffii G.Klotz"	"Cotoneaster sherriffii"	
"Crocus ancyrensis (Herb.) Maw"		"2cd4p9h.9rx"	"2cd4p9h.9rx"	"Crocus ancyrensis (Herb.) Maw"	"Crocus ancyrensis"	
"Dipsacus laciniatus L."		"2cd4p9h.9rr"	"2cd4p9h.9rr"	"Dipsacus laciniatus L."	"Dipsacus laciniatus"	
"Erodium manescavii Coss."		"2cd4p9h.9rz"	"2cd4p9h.9rz"	"Erodium manescavii Coss."	"Erodium manescavii"	
"Festuca gautieri (Hack.) K.Richt."		"2cd4p9h.9s8"	"2cd4p9h.9s8"	"Festuca gautieri (Hack.) K.Richt."	"Festuca gautieri"	
"Galanthus elwesii x plicatus"		"2cd4p9h.9sb"	"2cd4p9h.9sb"	"Galanthus elwesii x plicatus"	"Galanthus elwesii x plicatus"	
"Galanthus reginae-olgae Orph."		"2cd4p9h.9se"	"2cd4p9h.9se"	"Galanthus reginae-olgae Orph."	"Galanthus reginae-olgae"	
"Inula oculus-christi L."		"2cd4p9h.9sk"	"2cd4p9h.9sk"	"Inula oculus-christi L."	"Inula oculus-christi"	
"Jasminum beesianum Forrest & Diels"		"2cd4p9h.9sq"	"2cd4p9h.9sq"	"Jasminum beesianum Forrest & Diels"	"Jasminum beesianum"	
"Olearia avicenniifolia (Raoul) Hook.f."		"2cd4p9h.9t7"	"2cd4p9h.9t7"	"Olearia avicenniifolia (Raoul) Hook.f."	"Olearia avicenniifolia"	
"Onopordum nervosum Boiss."		"2cd4p9h.9tg"	"2cd4p9h.9tg"	"Onopordum nervosum Boiss."	"Onopordum nervosum"	
"Populus deltoides x trichocarpa = P. x generosa A.Henry"		"2cd4p9h.9tm"	"2cd4p9h.9tm"	"Populus deltoides x trichocarpa = P. x generosa A.Henry"	"Populus deltoides x trichocarpa = P. x generosa"	
"Salix myrsinites x herbacea"		"2cd4p9h.9ts"	"2cd4p9h.9ts"	"Salix myrsinites x herbacea"	"Salix myrsinites x herbacea"	
"Salix myrsinifolia x lapponum"		"2cd4p9h.9z0"	"2cd4p9h.9z0"	"Salix myrsinifolia x lapponum"	"Salix myrsinifolia x lapponum"	
"Symphoricarpos orbiculatus Moench"		"2cd4p9h.9z6"	"2cd4p9h.9z6"	"Symphoricarpos orbiculatus Moench"	"Symphoricarpos orbiculatus"	
"Pinus muricata D.Don"		"2cd4p9h.a05"	"2cd4p9h.a05"	"Pinus muricata D.Don"	"Pinus muricata"	
"Cotoneaster hummelii J.Fryer & B.Hylmö"		"2cd4p9h.a20"	"2cd4p9h.a20"	"Cotoneaster hummelii J.Fryer & B.Hylmö"	"Cotoneaster hummelii"	
"Cotoneaster pseudoambiguus J.Fryer & B.Hylmö"		"2cd4p9h.a23"	"2cd4p9h.a23"	"Cotoneaster pseudoambiguus J.Fryer & B.Hylmö"	"Cotoneaster pseudoambiguus"	
"Salix lapponum x lanata"		"2cd4p9h.a26"	"2cd4p9h.a26"	"Salix lapponum x lanata"	"Salix lapponum x lanata"	
"Lilium bulbiferum x maculatum = L. x hollandicum Woodcock & Stearn"		"2cd4p9h.a44"	"2cd4p9h.a44"	"Lilium bulbiferum x maculatum = L. x hollandicum Woodcock & Stearn"	"Lilium bulbiferum x maculatum = L. x hollandicum"	
"Mantisalca salmantica (L.) Briq. & Cavill."		"2cd4p9h.a5x"	"2cd4p9h.a5x"	"Mantisalca salmantica (L.) Briq. & Cavill."	"Mantisalca salmantica"	
"Fraxinus angustifolia Vahl"		"2cd4p9h.a5z"	"2cd4p9h.a5z"	"Fraxinus angustifolia Vahl"	"Fraxinus angustifolia"	
"Sasa veitchii (Carrière) Rehder"		"2cd4p9h.a65"	"2cd4p9h.a65"	"Sasa veitchii (Carrière) Rehder"	"Sasa veitchii"	
"Spiraea japonica L.f."		"2cd4p9h.a6e"	"2cd4p9h.a6e"	"Spiraea japonica L.f."	"Spiraea japonica"	
"Erophila glabrescens Jord."		"2cd4p9h.a6k"	"2cd4p9h.a6k"	"Erophila glabrescens Jord."	"Erophila glabrescens"	
"Camelina sativa (L.) Crantz"		"2cd4p9h.a6t"	"2cd4p9h.a6t"	"Camelina sativa (L.) Crantz"	"Camelina sativa"	
"Solanum tuberosum L."		"2cd4p9h.a71"	"2cd4p9h.a71"	"Solanum tuberosum L."	"Solanum tuberosum"	
"Triticum aestivum L."		"2cd4p9h.a77"	"2cd4p9h.a77"	"Triticum aestivum L."	"Triticum aestivum"	
"Euonymus japonicus Thunb."		"2cd4p9h.a7a"	"2cd4p9h.a7a"	"Euonymus japonicus Thunb."	"Euonymus japonicus"	
"Nigella damascena L."		"2cd4p9h.a7g"	"2cd4p9h.a7g"	"Nigella damascena L."	"Nigella damascena"	
