"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Oenanthe crocata L."	"2cd4p9h.ytm"	"2cd4p9h.ytm"	"Oenanthe crocata L."	7	7	"Oenanthe crocata"				
"Oenanthe lachenalii C.C.Gmel."	"2cd4p9h.ytp"	"2cd4p9h.ytp"	"Oenanthe lachenalii C.C.Gmel."	5	5	"Oenanthe lachenalii"				
"Oenothera glazioviana P.Micheli"	"2cd4p9h.yz0"	"2cd4p9h.yz0"	"Oenothera glazioviana P.Micheli"	5	5	"Oenothera glazioviana"				
"Papaver rhoeas L."	"2cd4p9h.yzc"	"2cd4p9h.yzc"	"Papaver rhoeas L."	6	6	"Papaver rhoeas"				
"Papaver somniferum L."	"2cd4p9h.yzf"	"2cd4p9h.yzf"	"Papaver somniferum L."	8	8	"Papaver somniferum"				
"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb."	"2cd4p9h.yzx"	"2cd4p9h.yzx"	"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb."	7	7	"Petasites hybridus"				
"Pinguicula lusitanica L."	"2cd4p9h.yzz"	"2cd4p9h.yzz"	"Pinguicula lusitanica L."	2	2	"Pinguicula lusitanica"				
"Pinguicula vulgaris L."	"2cd4p9h.p02"	"2cd4p9h.p02"	"Pinguicula vulgaris L."	2	2	"Pinguicula vulgaris"				
"Plantago coronopus L."	"2cd4p9h.p05"	"2cd4p9h.p05"	"Plantago coronopus L."	4	4	"Plantago coronopus"				
"Plantago major L."	"2cd4p9h.p08"	"2cd4p9h.p08"	"Plantago major L."	7	7	"Plantago major"				
"Poa bulbosa L."	"2cd4p9h.p0b"	"2cd4p9h.p0b"	"Poa bulbosa L."	2	2	"Poa bulbosa"				
"Poa glauca Vahl"	"2cd4p9h.p0e"	"2cd4p9h.p0e"	"Poa glauca Vahl"	3	3	"Poa glauca"				
"Poa pratensis L. s.s."	"2cd4p9h.p0h"	"2cd4p9h.p0h"	"Poa pratensis L. s.s."	5	5	"Poa pratensis"	"s.s."			
"Polygonatum multiflorum (L.) All."	"2cd4p9h.p0k"	"2cd4p9h.p0k"	"Polygonatum multiflorum (L.) All."	6	6	"Polygonatum multiflorum"				
"Potamogeton alpinus Balb."	"2cd4p9h.p0t"	"2cd4p9h.p0t"	"Potamogeton alpinus Balb."	5	5	"Potamogeton alpinus"				
"Potamogeton coloratus Hornem."	"2cd4p9h.p11"	"2cd4p9h.p11"	"Potamogeton coloratus Hornem."	5	5	"Potamogeton coloratus"				
"Potamogeton perfoliatus L."	"2cd4p9h.p14"	"2cd4p9h.p14"	"Potamogeton perfoliatus L."	5	5	"Potamogeton perfoliatus"				
"Potamogeton trichoides Cham. & Schltdl."	"2cd4p9h.p17"	"2cd4p9h.p17"	"Potamogeton trichoides Cham. & Schltdl."	6	6	"Potamogeton trichoides"				
"Primula elatior (L.) Hill"	"2cd4p9h.p1g"	"2cd4p9h.p1g"	"Primula elatior (L.) Hill"	6	6	"Primula elatior"				
"Prunella vulgaris L."	"2cd4p9h.p1p"	"2cd4p9h.p1p"	"Prunella vulgaris L."	4	4	"Prunella vulgaris"				
"Prunus cerasus L."	"2cd4p9h.p1s"	"2cd4p9h.p1s"	"Prunus cerasus L."	5	5	"Prunus cerasus"				
"Prunus laurocerasus L."	"2cd4p9h.p20"	"2cd4p9h.p20"	"Prunus laurocerasus L."	6	6	"Prunus laurocerasus"				
"Puccinellia fasciculata (Torr.) E.P.Bicknell"	"2cd4p9h.p23"	"2cd4p9h.p23"	"Puccinellia fasciculata (Torr.) E.P.Bicknell"	7	7	"Puccinellia fasciculata"				
"Ranunculus circinatus Sibth."	"2cd4p9h.p2c"	"2cd4p9h.p2c"	"Ranunculus circinatus Sibth."	7	7	"Ranunculus circinatus"				
"Ranunculus flammula L."	"2cd4p9h.p2v"	"2cd4p9h.p2v"	"Ranunculus flammula L."	3	3	"Ranunculus flammula"				
"Ranunculus ophioglossifolius Vill."	"2cd4p9h.p2y"	"2cd4p9h.p2y"	"Ranunculus ophioglossifolius Vill."	5	5	"Ranunculus ophioglossifolius"				
"Ranunculus trichophyllus Chaix"	"2cd4p9h.p2r"	"2cd4p9h.p2r"	"Ranunculus trichophyllus Chaix"	6	6	"Ranunculus trichophyllus"				
"Rosa rubiginosa agg."	"2cd4p9h.p3h"	"2cd4p9h.p3h"	"Rosa rubiginosa agg."	3	3	"Rosa rubiginosa"	"agg."			
"Rubus spectabilis Pursh"	"2cd4p9h.p3k"	"2cd4p9h.p3k"	"Rubus spectabilis Pursh"	5	5	"Rubus spectabilis"				
"Rumex maritimus L."	"2cd4p9h.p3t"	"2cd4p9h.p3t"	"Rumex maritimus L."	7	7	"Rumex maritimus"				
"Sagina saginoides (L.) H.Karst."	"2cd4p9h.p4d"	"2cd4p9h.p4d"	"Sagina saginoides (L.) H.Karst."	2	2	"Sagina saginoides"				
"Salicornia obscura P.W.Ball & Tutin"	"2cd4p9h.p4g"	"2cd4p9h.p4g"	"Salicornia obscura P.W.Ball & Tutin"	6	6	"Salicornia obscura"				
"Salix lanata L."	"2cd4p9h.p4m"	"2cd4p9h.p4m"	"Salix lanata L."	3	3	"Salix lanata"				
"Saxifraga aizoides L."	"2cd4p9h.p50"	"2cd4p9h.p50"	"Saxifraga aizoides L."	2	2	"Saxifraga aizoides"				
