species	BRC
Limonium humile	9201149
Carex extensa	920374
Suaeda vera	9202018
Hordeum marinum	920991
Blysmus rufus	920246
Zostera angustifolia	9202238
Zostera noltii	9202240
Zostera marina	9202239
Frankenia laevis	920840
Limonium bellidifolium	9201147
Melilotus altissimus	9201265
Athyrium distentifolium	910210
Equisetum pratense	910718
Oxyria digyna	9201420
Dryopteris affinis	910662
Gymnocarpium dryopteris	9102050
Salix lanata	9201795
Fraxinus excelsior (g)	920841
Lonicera periclymenum (g)	9201188
Poa glauca	9201501
Polypodium vulgare sens.str.	9101544
Pilosella peleteriana	9203144
Crassula tillaea	920567
Scleranthus perennis	9201863
Spergularia rubra	9201992
Silene otites	9201929
Veronica spicata	9202181
Umbilicus rupestris	9202125
Quercus robur (g)	9201640
Lychnis viscaria	9202222
Potentilla argentea	9201585
Silene conica	9201921
Trifolium seedling/sp	9205298
Thymus serpyllum	9202062
Betula pendula (g)	920239
Quercus petraea x robur (s)	9201639
Betula pendula	920239
Acer campestre	9203
Carpinus betulus	920428
Castanea sativa (s)	920432
Ceratocapnos claviculata	920555
Quercus petraea (c)	9201638
Rhododendron ponticum	9201687
Ulex europaeus (g)	9202112
Betula pendula (c)	920239
Corylus avellana	920557
Fagus sylvatica (g)	920810
Fraxinus excelsior (c)	920841
Ligustrum vulgare	9201144
Prunus avium (c)	9201611
Quercus robur (c)	9201640
Acer campestre (g)	9203
Sanicula europaea	9201819
Sorbus aucuparia (c)	9201960
Viburnum lantana (s)	9202184
Acer pseudoplatanus (c)	9205
Galium odoratum	920183
Carpinus betulus (s)	920428
Crataegus laevigata	920570
Euphorbia amygdaloides	920764
Fagus sylvatica (c)	920810
Ilex aquifolium	9201023
Pseudotsuga menziesii (c)	9201618
Castanea sativa	920432
Malus sylvestris	9201230
Taxus baccata (c)	9202039
Carex sylvatica	920421
Lamiastrum galeobdolon	920862
Larix sp.(c)	9204442
Cytisus scoparius (g)	9201822
Pinus nigra (c)	9201482
Viburnum opulus (s)	9202185
Betula pubescens (c)	920240
Milium effusum	9201296
Pinus sylvestris (c)	9201484
Poa nemoralis	9201504
Lysimachia nemorum	9201221
Ulmus glabra (c)	9202119
Quercus robur x petraea (c)	9201639
Lysimachia nummularia	9201222
Tilia cordata	9202063
Tilia x vulgaris (c)	9202065
Crataegus monogyna (g)	920569
Ilex aquifolium (c)	9201023
Ilex aquifolium (g)	9201023
Melica uniflora	9201263
Narcissus pseudonarcissus subsp.pseudonarcissus	9201343
Quercus petraea	9201638
Convallaria majalis	920543
Betula pubescens x pendula (g)	9202301
Corylus avellana (g)	920557
Betula pubescens x pendula (c)	9202301
Pyrola minor	9201631
Quercus petraea x robur (g)	9201639
Cephalanthera damasonium	920457
Euonymus europaeus	920762
Neottia nidus-avis	9201352
Tamus communis	9202032
Daphne laureola	920617
Taxus baccata (g)	9202039
Buxus sempervirens	920289
Iris foetidissima	9201036
Acer campestre (c)	9203
Cornus sanguinea	920548
Geum urbanum	920925
Campanula trachelium	920323
Viola reichenbachiana	9202217
Aesculus hippocastanum	9202241
Taxus baccata	9202039
Arum maculatum	920176
Atropa belladonna	920219
Ruscus aculeatus	9201760
Carex remota	920412
Moehringia trinervia	9201305
Festuca gigantea	920816
Quercus petraea (g)	9201638
Hymenophyllum tunbrigense	9101000
Dryopteris aemula	910660
Goodyera repens	920943
Picea sitchensis (c)	9202401
Picea abies (c)	9201470
Adoxa moschatellina	92019
Salix purpurea	9201801
Salix viminalis	9201805
Salix phylicifolia	9201800
Rosa canina (s)	9201708
Ulmus sp.	9204314
Rhamnus cathartica	9201675
Rosa arvensis	9201707
Lonicera periclymenum	9201188
Chaerophyllum temulum	920476
Salix fragilis	9201793
Salix pentandra	9201799
Alnus glutinosa (g)	92077
Salix myrsinifolia	9201797
Carex laevigata	920385
Salix caprea (c)	9201788
Ribes rubrum (g)	9201696
Carex elongata	920372
Ribes nigrum	9201694
Salix cinerea (c)	9201789
Impatiens glandulifera	9201026
Petasites hybridus	9201447
Salix viminalis (s)	9201805
Veronica montana	9202172
Equisetum sylvaticum	910720
Salix pentandra (s)	9201799
Prunus padus	9201616
Betula pubescens x pendula (s)	9202301
Carex pendula	920404
Malus sylvestris (c)	9201230
Melica nutans	9201262
Sorbus torminalis	9201977
Ulmus procera (c)	9202122
Ulmus sp. (c)	9204314
Platanthera chlorantha	9201493
Ulmus minor (c)	9202115
Viola odorata	9202214
Campanula latifolia	920316
Daphne mezereum	920618
Myosotis sylvatica	9201325
Primula elatior	9201600
Polystichum setiferum	9101548
Crataegus laevigata x monogyna (C. x macrocarpa)	920568
Primula elatior x vulgaris (P. x digenea)	9201602
Polygonatum multiflorum	9201516
Ribes uva-crispa	9201697
Ligustrum vulgare (g)	9201144
Ulmus minor (s)	9202115
Tilia platyphyllos	9202064
Carex pallescens	920399
Circaea alpina x lutetiana (C. x intermedia)	920512
Bromus racemosus	920271
Bromus commutatus	920262
Oenanthe silaifolia	9201368
Polygala oxyptera	9201515
Festuca pratensis x Lolium perenne (x Festulolium loli	920815
