"SITE.x","PLOT.x","Samp_id","Yr_2","BRC_NUMBER","BRC_NAMES","Storm","Label"
2,2,"2_2",1,920557,"Corylus avellana",1,"y"
2,2,"2_2",1,920627,"Deschampsia cespitosa",1,"y"
2,2,"2_2",1,920687,"Hyacinthoides non-scripta",1,"y"
2,2,"2_2",2,920687,"Hyacinthoides non-scripta",1,"y"
2,2,"2_2",2,920810,"Fagus sylvatica",1,"y"
2,2,"2_2",1,920810,"Fagus sylvatica",1,"y"
2,2,"2_2",2,920841,"Fraxinus excelsior",1,"y"
2,2,"2_2",1,920841,"Fraxinus excelsior",1,"y"
2,2,"2_2",1,920952,"Hedera helix",1,"y"
2,2,"2_2",2,920952,"Hedera helix",1,"y"
2,2,"2_2",2,8201103,"Brachythecium sp.",1,"y"
2,2,"2_2",2,9101619,"Pteridium aquilinum",1,"y"
2,2,"2_2",1,9201023,"Ilex aquifolium",1,"y"
2,2,"2_2",2,9201023,"Ilex aquifolium",1,"y"
2,2,"2_2",2,9201188,"Lonicera periclymenum",1,"y"
2,2,"2_2",1,9201188,"Lonicera periclymenum",1,"y"
2,2,"2_2",2,9201221,"Lysimachia nemorum",1,"y"
2,2,"2_2",2,9201413,"Oxalis acetosella",1,"y"
2,2,"2_2",1,9201413,"Oxalis acetosella",1,"y"
2,2,"2_2",1,9201694,"Ribes nigrum/rubrum",1,"y"
2,2,"2_2",1,9201696,"Ribes nigrum/rubrum",1,"y"
2,2,"2_2",2,9201728,"Rubus fruticosus agg.",1,"y"
2,2,"2_2",1,9201728,"Rubus fruticosus agg.",1,"y"
2,2,"2_2",1,9201951,"Solidago virgaurea",1,"y"
2,2,"2_2",1,9202217,"Viola riviniana/reichenbiana",1,"y"
2,2,"2_2",1,9202218,"Viola riviniana/reichenbiana",1,"y"
2,2,"2_2",2,9204445,"Betula seedling/sp",1,"y"
2,2,"2_2",1,9204445,"Betula seedling/sp",1,"y"
2,2,"2_2",1,9204446,"Quercus seedling/sp",1,"y"
2,2,"2_2",2,9204546,"Pinus sp./seedling",1,"y"
2,2,"2_2",2,200001583,"Dryopteris dilatata/carthusiana",1,"y"
2,3,"2_3",1,82040,"Atrichum undulatum",1,"y"
2,3,"2_3",2,82040,"Atrichum undulatum",1,"y"
2,3,"2_3",1,92040,"Agrostis capillaris",1,"y"
2,3,"2_3",1,92046,"Ajuga reptans",1,"y"
2,3,"2_3",1,820184,"Dicranella heteromalla",1,"y"
2,3,"2_3",1,820184,"Rhynchostegium confertum",1,"y"
2,3,"2_3",1,820351,"Hypnum cupressiforme sens.lat.",1,"y"
2,3,"2_3",2,820351,"Hypnum cupressiforme sens.lat.",1,"y"
2,3,"2_3",2,820357,"Isopterygium elegans",1,"y"
2,3,"2_3",1,820382,"Mnium hornum",1,"y"
2,3,"2_3",2,820382,"Mnium hornum",1,"y"
2,3,"2_3",2,820599,"Thuidium tamariscinum",1,"y"
2,3,"2_3",2,920105,"Anemone nemorosa",1,"y"
2,3,"2_3",1,920183,"Galium odoratum",1,"y"
2,3,"2_3",2,920328,"Cardamine hirsuta/flexuosa",1,"y"
2,3,"2_3",2,920466,"Cerastium glomeratum",1,"y"
2,3,"2_3",1,920513,"Circaea lutetiana",1,"y"
2,3,"2_3",2,920513,"Circaea lutetiana",1,"y"
2,3,"2_3",1,920557,"Corylus avellana",1,"y"
2,3,"2_3",2,920557,"Corylus avellana",1,"y"
2,3,"2_3",2,920569,"Crataegus monogyna",1,"y"
2,3,"2_3",2,920687,"Hyacinthoides non-scripta",1,"y"
2,3,"2_3",1,920810,"Fagus sylvatica",1,"y"
2,3,"2_3",1,920841,"Fraxinus excelsior",1,"y"
2,3,"2_3",2,920841,"Fraxinus excelsior",1,"y"
2,3,"2_3",1,920952,"Hedera helix",1,"y"
2,3,"2_3",2,920983,"Holcus lanatus",1,"y"
2,3,"2_3",2,9201023,"Ilex aquifolium",1,"y"
2,3,"2_3",1,9201023,"Ilex aquifolium",1,"y"
2,3,"2_3",2,9201104,"Lapsana communis",1,"y"
2,3,"2_3",1,9201188,"Lonicera periclymenum",1,"y"
2,3,"2_3",2,9201188,"Lonicera periclymenum",1,"y"
2,3,"2_3",2,9201221,"Lysimachia nemorum",1,"y"
2,3,"2_3",1,9201413,"Oxalis acetosella",1,"y"
2,3,"2_3",2,9201507,"Poa nemoralis/trivialis",1,"y"
2,3,"2_3",1,9201596,"Potentilla sterilis",1,"y"
2,3,"2_3",1,9201728,"Rubus fruticosus agg.",1,"y"
2,3,"2_3",2,9201728,"Rubus fruticosus agg.",1,"y"
2,3,"2_3",2,9201905,"Senecio vulgaris",1,"y"
2,3,"2_3",1,9201951,"Solidago virgaurea",1,"y"
2,3,"2_3",2,9202012,"Stellaria media",1,"y"
2,3,"2_3",2,9202172,"Veronica montana",1,"y"
2,3,"2_3",1,9202217,"Viola riviniana/reichenbiana",1,"y"
2,3,"2_3",1,9202218,"Viola riviniana/reichenbiana",1,"y"
2,3,"2_3",1,9204445,"Betula seedling/sp",1,"y"
2,3,"2_3",2,9204446,"Quercus seedling/sp",1,"y"
2,3,"2_3",1,9204446,"Quercus seedling/sp",1,"y"
2,3,"2_3",2,200001583,"Dryopteris dilatata/carthusiana",1,"y"
2,3,"2_3",2,200001595,"Viola riviniana/reichenbiana",1,"y"
2,4,"2_4",1,92039,"Agrostis stolonifera",1,"y"
2,4,"2_4",1,92040,"Agrostis capillaris",1,"y"
2,4,"2_4",1,92046,"Ajuga reptans",1,"y"
2,4,"2_4",2,92046,"Ajuga reptans",1,"y"
2,4,"2_4",2,820351,"Hypnum cupressiforme sens.lat.",1,"y"
2,4,"2_4",2,820357,"Isopterygium elegans",1,"y"
2,4,"2_4",2,820362,"Isothecium myosuroides",1,"y"
2,4,"2_4",1,820382,"Mnium hornum",1,"y"
2,4,"2_4",2,820382,"Mnium hornum",1,"y"
2,4,"2_4",2,820483,"Polytrichum formosum",1,"y"
2,4,"2_4",2,820599,"Thuidium tamariscinum",1,"y"
2,4,"2_4",2,910211,"Athyrium filix-femina",1,"y"
2,4,"2_4",2,910244,"Blechnum spicant",1,"y"
2,4,"2_4",2,910665,"Dryopteris affinis/f-mas",1,"y"
2,4,"2_4",1,910665,"Dryopteris affinis/f-mas",1,"y"
2,4,"2_4",2,920105,"Anemone nemorosa",1,"y"
2,4,"2_4",1,920183,"Galium odoratum",1,"y"
2,4,"2_4",1,920421,"Carex sylvatica",1,"y"
2,4,"2_4",2,920421,"Carex sylvatica",1,"y"
2,4,"2_4",1,920477,"Chamerion angustifolium",1,"y"
2,4,"2_4",1,920513,"Circaea lutetiana",1,"y"
2,4,"2_4",1,920515,"Cirsium arvense",1,"y"
2,4,"2_4",1,920557,"Corylus avellana",1,"y"
2,4,"2_4",1,920569,"Crataegus monogyna",1,"y"
2,4,"2_4",1,920627,"Deschampsia cespitosa",1,"y"
2,4,"2_4",1,920687,"Hyacinthoides non-scripta",1,"y"
2,4,"2_4",2,920687,"Hyacinthoides non-scripta",1,"y"
2,4,"2_4",1,920695,"Epilobium montanum",1,"y"
2,4,"2_4",2,920810,"Fagus sylvatica",1,"y"
2,4,"2_4",2,920841,"Fraxinus excelsior",1,"y"
2,4,"2_4",1,920841,"Fraxinus excelsior",1,"y"
2,4,"2_4",1,920882,"Galium palustre",1,"y"
