BIOTOPE_SHORT_TERM1,BIOTOPE_FULL_TERM1,BIOTOPE_CODE1,CLASSN1,BIOTOPE_SHORT_TERM2,BIOTOPE_FULL_TERM2,BIOTOPE_CODE2,CLASSN2,RELATIONSHIP,
Temperate-montane acid siliceous screes,Temperate-montane acid siliceous screes,H2.3,EUNIS Classification,Acidic scree,Siliceous scree of the montane to snow levels (<i>Androsacetalia alpinae</i> and <i>Galeopsietalia ladani</i>),H8110,EU Habitats Directive Annex I,is equal to,H8110
Alpine siliceous screes,Alpine siliceous screes,H2.31,EUNIS Classification,Acidic scree,Siliceous scree of the montane to snow levels (<i>Androsacetalia alpinae</i> and <i>Galeopsietalia ladani</i>),H8110,EU Habitats Directive Annex I,is contained in,H8110
Medio-European upland siliceous screes,Medio-European upland siliceous screes,H2.32,EUNIS Classification,Cryptogramma crispa-Deschampsia flexuosa community,<i>Cryptogramma crispa</i>-<i>Deschampsia flexuosa</i> community,U21,National Vegetation Classification,is contained in,
Temperate-montane calcareous and ultra-basic screes,Temperate-montane calcareous and ultra-basic screes,H2.4,EUNIS Classification,Base-rich scree,Calcareous and calcshist screes of the montane to alpine levels (<i>Thlaspietea rotundifolii</i>),H8120,EU Habitats Directive Annex I,contains,H8120
Temperate-montane calcareous and ultra-basic screes,Temperate-montane calcareous and ultra-basic screes,H2.4,EUNIS Classification,"Natural rock exposure: scree, basic","Natural rock exposure: scree, basic",I122,Phase 1 Habitat Classification,overlaps with,
Alpine calcschist screes,Alpine calcschist screes,H2.41,EUNIS Classification,Base-rich scree,Calcareous and calcshist screes of the montane to alpine levels (<i>Thlaspietea rotundifolii</i>),H8120,EU Habitats Directive Annex I,is contained in,H8120
Thlaspi rotundifolium screes,<i>Thlaspi rotundifolium</i> screes,H2.42,EUNIS Classification,Base-rich scree,Calcareous and calcshist screes of the montane to alpine levels (<i>Thlaspietea rotundifolii</i>),H8120,EU Habitats Directive Annex I,is contained in,H8120
Fine calcareous screes,Fine calcareous screes,H2.43,EUNIS Classification,Base-rich scree,Calcareous and calcshist screes of the montane to alpine levels (<i>Thlaspietea rotundifolii</i>),H8120,EU Habitats Directive Annex I,is contained in,H8120
Vaccinium myrtillus - Racomitrium lanuginosum heath,<i>Vaccinium myrtillus</i>-<i>Racomitrium lanuginosum</i> heath,H20,National Vegetation Classification,Dry dwarf shrub heath: acid,Dry dwarf shrub heath: acid,D11,Phase 1 Habitat Classification,overlaps with,
Vaccinium myrtillus - Racomitrium lanuginosum heath,<i>Vaccinium myrtillus</i>-<i>Racomitrium lanuginosum</i> heath,H20,National Vegetation Classification,Lichen/bryophyte heath,Lichen/bryophyte heath,D3,Phase 1 Habitat Classification,overlaps with,
Vaccinium myrtillus - Racomitrium lanuginosum heath,<i>Vaccinium myrtillus</i>-<i>Racomitrium lanuginosum</i> heath,H20,National Vegetation Classification,Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,is contained in,
Vaccinium myrtillus - Racomitrium lanuginosum heath,<i>Vaccinium myrtillus</i>-<i>Racomitrium lanuginosum</i> heath,H20,National Vegetation Classification,Alpine and subalpine heaths,Alpine and Boreal heaths,H4060,EU Habitats Directive Annex I,is contained in,H4060
Vaccinium myrtillus - Racomitrium lanuginosum heath,<i>Vaccinium myrtillus</i>-<i>Racomitrium lanuginosum</i> heath,H20,National Vegetation Classification,Submontane Vaccinium - Calluna heaths,Submontane <i>Vaccinium</i> - <i>Calluna</i> heaths,F4.21,EUNIS Classification,overlaps with,
Calluna vulgaris-Vaccinium myrtillus-Sphagnum capillifolium,<i>Calluna vulgaris</i>-<i>Vaccinium myrtillus</i>-<i>Sphagnum capillifolium</i> heath,H21,National Vegetation Classification,Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,may be included in,
Calluna vulgaris-Vaccinium myrtillus-Sphagnum capillifolium,<i>Calluna vulgaris</i>-<i>Vaccinium myrtillus</i>-<i>Sphagnum capillifolium</i> heath,H21,National Vegetation Classification,Dwarf shrub heath,Dwarf shrub heath,10,Biodiversity Action Plan Broad Habitats,is contained in,
Calluna vulgaris-Vaccinium myrtillus-Sphagnum capillifolium,<i>Calluna vulgaris</i>-<i>Vaccinium myrtillus</i>-<i>Sphagnum capillifolium</i> heath,H21,National Vegetation Classification,Upland heathland,Upland heathland,,Biodiversity Action Plan Priority Habitats,is contained in,
Calluna vulgaris-Vaccinium myrtillus-Sphagnum capillifolium,<i>Calluna vulgaris</i>-<i>Vaccinium myrtillus</i>-<i>Sphagnum capillifolium</i> heath,H21,National Vegetation Classification,Alpine and subalpine heaths,Alpine and Boreal heaths,H4060,EU Habitats Directive Annex I,overlaps with,H4060
Calluna vulgaris-Vaccinium myrtillus-Sphagnum capillifolium,<i>Calluna vulgaris</i>-<i>Vaccinium myrtillus</i>-<i>Sphagnum capillifolium</i> heath,H21,National Vegetation Classification,Dry dwarf shrub heath: acid,Dry dwarf shrub heath: acid,D11,Phase 1 Habitat Classification,is contained in,
Calluna vulgaris-Vaccinium myrtillus-Sphagnum capillifolium,<i>Calluna vulgaris</i>-<i>Vaccinium myrtillus</i>-<i>Sphagnum capillifolium</i> heath,H21,National Vegetation Classification,Dry heaths,European dry heaths ,H4030,EU Habitats Directive Annex I,overlaps with,H4030
Calluna vulgaris-Vaccinium myrtillus-Sphagnum capillifolium,<i>Calluna vulgaris</i>-<i>Vaccinium myrtillus</i>-<i>Sphagnum capillifolium</i> heath,H21,National Vegetation Classification,Submontane Vaccinium - Calluna heaths,Submontane <i>Vaccinium</i> - <i>Calluna</i> heaths,F4.21,EUNIS Classification,overlaps with,
Vaccinium myrtillus - Rubus chamaemorus heath,<i>Vaccinium myrtillus</i>-<i>Rubus chamaemorus</i> heath,H22,National Vegetation Classification,Alpine and subalpine heaths,Alpine and Boreal heaths,H4060,EU Habitats Directive Annex I,is contained in,H4060
Vaccinium myrtillus - Rubus chamaemorus heath,<i>Vaccinium myrtillus</i>-<i>Rubus chamaemorus</i> heath,H22,National Vegetation Classification,Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,is contained in,
Vaccinium myrtillus - Rubus chamaemorus heath,<i>Vaccinium myrtillus</i>-<i>Rubus chamaemorus</i> heath,H22,National Vegetation Classification,Dry dwarf shrub heath: acid,Dry dwarf shrub heath: acid,D11,Phase 1 Habitat Classification,is contained in,
Vaccinium myrtillus - Rubus chamaemorus heath,<i>Vaccinium myrtillus</i>-<i>Rubus chamaemorus</i> heath,H22,National Vegetation Classification,Submontane Vaccinium - Calluna heaths,Submontane <i>Vaccinium</i> - <i>Calluna</i> heaths,F4.21,EUNIS Classification,overlaps with,
Saltmarsh: saltmarsh/dune interface,Saltmarsh: saltmarsh/dune interface,H23,Phase 1 Habitat Classification,Halimione portulacoides-Frankenia laevis salt-marsh communit,<i>Halimione portulacoides</i>-<i>Frankenia laevis</i> salt-marsh community,SM22,National Vegetation Classification,contains,
Saltmarsh: saltmarsh/dune interface,Saltmarsh: saltmarsh/dune interface,H23,Phase 1 Habitat Classification,Suaeda vera-Limonium binervosum salt-marsh community,<i>Suaeda vera</i>-<i>Limonium binervosum</i> salt-marsh community,SM21,National Vegetation Classification,contains,
Saltmarsh: saltmarsh/dune interface,Saltmarsh: saltmarsh/dune interface,H23,Phase 1 Habitat Classification,Littoral sediment,Littoral sediment,21,Biodiversity Action Plan Broad Habitats,is contained in,
Saltmarsh: saltmarsh/dune interface,Saltmarsh: saltmarsh/dune interface,H23,Phase 1 Habitat Classification,Suaeda vera drift-line community,<i>Suaeda vera</i> drift-line community,SM25,National Vegetation Classification,contains,
Saltmarsh: saltmarsh/dune interface,Saltmarsh: saltmarsh/dune interface,H23,Phase 1 Habitat Classification,Upper saltmarshes,Upper saltmarshes,A2.52,EUNIS Classification,contains,
Saltmarsh: saltmarsh/dune interface,Saltmarsh: saltmarsh/dune interface,H23,Phase 1 Habitat Classification,Saltmarsh driftlines,Saltmarsh driftlines,A2.51,EUNIS Classification,contains,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Eleocharis parvula salt-marsh community,<i>Eleocharis parvula</i> salt-marsh community,SM3,National Vegetation Classification,contains,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Eleocharis uniglumis salt-marsh community,<i>Eleocharis uniglumis</i> salt-marsh community,SM20,National Vegetation Classification,overlaps with,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Spartina anglica salt-marsh community,<i>Spartina anglica</i> salt-marsh community,SM6,National Vegetation Classification,overlaps with,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Arthrocnemum perenne stands,<i>Arthrocnemum perenne</i> stands,SM7,National Vegetation Classification,overlaps with,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Annual Salicornia salt-marsh community,Annual <i>Salicornia</i> salt-marsh community,SM8,National Vegetation Classification,contains,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Rayed Aster tripolium stands,Rayed <i>Aster tripolium</i> stands,SM12,National Vegetation Classification,overlaps with,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Suaeda maritima salt-marsh community,<i>Suaeda maritima</i> salt-marsh community,SM9,National Vegetation Classification,overlaps with,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,"Transitional low marsh vegetation with Puccinellia maritima,","Transitional low marsh vegetation with <i>Puccinellia maritima</i>, annual <i>Salicornia</i> species and <i>Sueda maritima</i>",SM10,National Vegetation Classification,overlaps with,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Spartina maritima salt-marsh community,<i>Spartina maritima</i> salt-marsh community,SM4,National Vegetation Classification,overlaps with,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Spergularia marina-Puccinellia distans salt-marsh community,<i>Spergularia marina</i>-<i>Puccinellia distans</i> salt-marsh community,SM23,National Vegetation Classification,overlaps with,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Ephemeral salt-marsh vegetation with Sagina maritima,Ephemeral salt-marsh vegetation with <i>Sagina maritima</i>,SM27,National Vegetation Classification,contains,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Littoral sediment,Littoral sediment,21,Biodiversity Action Plan Broad Habitats,is contained in,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Blysmus rufus salt-marsh community,<i>Blysmus rufus</i> salt-marsh community,SM19,National Vegetation Classification,overlaps with,
Saltmarsh: scattered plants,Saltmarsh: scattered plants,H24,Phase 1 Habitat Classification,Pioneer saltmarshes,Pioneer saltmarshes,A2.55,EUNIS Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Festuca arundinacea grassland,<i>Festuca arundinacea</i> grassland,MG12,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Festuca rubra-Agrostis stolonifera-Potentilla anserina grass,<i>Festuca rubra</i>-<i>Agrostis stolonifera</i>-<i>Potentilla anserina</i> grassland,MG11,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Elymus repens salt-marsh community,<i>Elymus repens</i> salt-marsh community,SM28,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Inula crithmoides stands,<i>Inula crithmoides</i> stands,SM26,National Vegetation Classification,contains,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Blysmus rufus salt-marsh community,<i>Blysmus rufus</i> salt-marsh community,SM19,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Spergularia marina-Puccinellia distans salt-marsh community,<i>Spergularia marina</i>-<i>Puccinellia distans</i> salt-marsh community,SM23,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Juncus maritimus-Triglochin maritima salt-marsh community,<i>Juncus maritimus</i>-<i>Triglochin maritima</i> salt-marsh community,SM15,National Vegetation Classification,contains,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Eleocharis uniglumis salt-marsh community,<i>Eleocharis uniglumis</i> salt-marsh community,SM20,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Spartina maritima salt-marsh community,<i>Spartina maritima</i> salt-marsh community,SM4,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Spartina alterniflora salt-marsh community,<i>Spartina alterniflora</i> salt-marsh community,SM5,National Vegetation Classification,contains,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Rayed Aster tripolium stands,Rayed <i>Aster tripolium</i> stands,SM12,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Halimione portulacoides salt-marsh community,<i>Halimione portulacoides</i> salt-marsh community,SM14,National Vegetation Classification,contains,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Elymus pycnanthus salt-marsh community,<i>Elymus pycnanthus</i> salt-marsh community,SM24,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Puccinellia maritima salt-marsh community,<i>Puccinellia maritima</i> salt-marsh community,SM13,National Vegetation Classification,contains,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Spartina anglica salt-marsh community,<i>Spartina anglica</i> salt-marsh community,SM6,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Festuca rubra salt-marsh community,<i>Festuca rubra</i> salt-marsh community,SM16,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Aster tripolium var. discoideus salt-marsh community,<i>Aster tripolium</i> var. <i>discoideus</i> salt-marsh community,SM11,National Vegetation Classification,contains,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,"Transitional low marsh vegetation with Puccinellia maritima,","Transitional low marsh vegetation with <i>Puccinellia maritima</i>, annual <i>Salicornia</i> species and <i>Sueda maritima</i>",SM10,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Suaeda maritima salt-marsh community,<i>Suaeda maritima</i> salt-marsh community,SM9,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Artemisia maritima salt-marsh community,<i>Artemisia maritima</i> salt-marsh community,SM17,National Vegetation Classification,contains,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Juncus maritimus salt-marsh community,<i>Juncus maritimus</i> salt-marsh community,SM18,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Littoral sediment,Littoral sediment,21,Biodiversity Action Plan Broad Habitats,is contained in,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Arthrocnemum perenne stands,<i>Arthrocnemum perenne</i> stands,SM7,National Vegetation Classification,overlaps with,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Low-mid saltmarshes,Low-mid saltmarshes,A2.54,EUNIS Classification,contains,
Saltmarsh: dense/continuous,Saltmarsh: dense/continuous,H26,Phase 1 Habitat Classification,Pioneer saltmarshes,Pioneer saltmarshes,A2.55,EUNIS Classification,overlaps with,
"Inland cliffs, rock pavements and outcrops","Inland cliffs, rock pavements and outcrops",H3,EUNIS Classification,Natural rock exposure: inland cliff,Natural rock exposure: inland cliff,I11,Phase 1 Habitat Classification,contains,
"Inland cliffs, rock pavements and outcrops","Inland cliffs, rock pavements and outcrops",H3,EUNIS Classification,Natural rock exposure,Natural rock exposure,I1,Phase 1 Habitat Classification,is contained in,
"Inland cliffs, rock pavements and outcrops","Inland cliffs, rock pavements and outcrops",H3,EUNIS Classification,Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,is contained in,
"Inland cliffs, rock pavements and outcrops","Inland cliffs, rock pavements and outcrops",H3,EUNIS Classification,Tall herb and fern,Tall herb and fern,C,Phase 1 Habitat Classification,overlaps with,
"Inland cliffs, rock pavements and outcrops","Inland cliffs, rock pavements and outcrops",H3,EUNIS Classification,Upland species-rich ledges,Upland species-rich ledges,C2,Phase 1 Habitat Classification,contains,
Ulex minor - Agrostis curtisii heath,<i>Ulex minor</i>-<i>Agrostis curtisii</i> heath,H3,National Vegetation Classification,Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,may be included in,
Ulex minor - Agrostis curtisii heath,<i>Ulex minor</i>-<i>Agrostis curtisii</i> heath,H3,National Vegetation Classification,Dry heaths,European dry heaths ,H4030,EU Habitats Directive Annex I,is contained in,H4030
Ulex minor - Agrostis curtisii heath,<i>Ulex minor</i>-<i>Agrostis curtisii</i> heath,H3,National Vegetation Classification,Dry dwarf shrub heath: acid,Dry dwarf shrub heath: acid,D11,Phase 1 Habitat Classification,overlaps with,
Ulex minor - Agrostis curtisii heath,<i>Ulex minor</i>-<i>Agrostis curtisii</i> heath,H3,National Vegetation Classification,Dry heath/acid grassland,Dry heath/acid grassland,D5,Phase 1 Habitat Classification,overlaps with,
Ulex minor - Agrostis curtisii heath,<i>Ulex minor</i>-<i>Agrostis curtisii</i> heath,H3,National Vegetation Classification,Dwarf shrub heath,Dwarf shrub heath,10,Biodiversity Action Plan Broad Habitats,is contained in,
Ulex minor - Agrostis curtisii heath,<i>Ulex minor</i>-<i>Agrostis curtisii</i> heath,H3,National Vegetation Classification,Wet heathland with Dorset heath and cross-leaved heath,Temperate Atlantic wet heaths with <i>Erica ciliaris</i> and <i>Erica tetralix</i>,H4020,EU Habitats Directive Annex I,overlaps with,H4020
Ulex minor - Agrostis curtisii heath,<i>Ulex minor</i>-<i>Agrostis curtisii</i> heath,H3,National Vegetation Classification,Atlantic Erica - Ulex heaths,Atlantic <i>Erica</i> - <i>Ulex</i> heaths,F4.23,EUNIS Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,potentially overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Coastal vegetated shingle,Coastal vegetated shingle,,Biodiversity Action Plan Priority Habitats,potentially overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Rumex crispus-Glaucium flavum shingle community,<i>Rumex crispus</i>-<i>Glaucium flavum</i> shingle community,SD1,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Honkenya peploides-Cakile maritima strandline community,<i>Honkenya peploides</i>-<i>Cakile maritima</i> strandline community,SD2,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Pteridium aquilinum-Rubus fruticosus underscrub,<i>Pteridium aquilinum</i>-<i>Rubus fruticosus</i> underscrub,W25,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Festuca rubra - Armeria maritima maritime grassland,<i>Festuca rubra</i>-<i>Armeria maritima</i> maritime grassland,MC8,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Festuca rubra-Agrostis stolonifera-Potentilla anserina grass,<i>Festuca rubra</i>-<i>Agrostis stolonifera</i>-<i>Potentilla anserina</i> grassland,MG11,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Supralittoral sediment,Supralittoral sediment,19,Biodiversity Action Plan Broad Habitats,is contained in,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Arrhenatherum elatius grassland,<i>Arrhenatherum elatius</i> grassland,MG1,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Calluna vulgaris - Carex arenaria heath,<i>Calluna vulgaris</i>-<i>Carex arenaria</i> heath,H11,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Festuca rubra-Galium verum fixed dune grassland,<i>Festuca rubra</i>-<i>Galium verum</i> fixed dune grassland,SD8,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Festuca ovina-Agrostis capillaris-Rumex acetosella grassland,<i>Festuca ovina</i>-<i>Agrostis capillaris</i>-<i>Rumex acetosella</i> grassland,U1,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Rubus fruticosus-Holcus lanatus underscrub,<i>Rubus fruticosus</i>-<i>Holcus lanatus</i> underscrub,W24,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Prunus spinosa-Rubus fruticosus scrub,<i>Prunus spinosa</i>-<i>Rubus fruticosus</i> scrub,W22,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Salix cinerea-Galium palustre woodland,<i>Salix cinerea</i>-<i>Galium palustre</i> woodland,W1,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Pteridium aquilinum-Galium saxatile community,<i>Pteridium aquilinum</i>-<i>Galium saxatile</i> community,U20,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Ulex europaeus-Rubus fruticosus scrub,<i>Ulex europaeus</i>-<i>Rubus fruticosus</i> scrub,W23,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Festuca ovina-Agrostis capillaris-Galium saxatile grassland,<i>Festuca ovina</i>-<i>Agrostis capillaris</i>-<i>Galium saxatile</i> grassland,U4,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Elymus repens salt-marsh community,<i>Elymus repens</i> salt-marsh community,SM28,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Elymus pycnanthus salt-marsh community,<i>Elymus pycnanthus</i> salt-marsh community,SM24,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Juncus maritimus salt-marsh community,<i>Juncus maritimus</i> salt-marsh community,SM18,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Festuca rubra salt-marsh community,<i>Festuca rubra</i> salt-marsh community,SM16,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Matricaria maritima-Galium aparine strandline community,<i>Matricaria maritima</i>-<i>Galium aparine</i> strandline community,SD3,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Elymus farctus ssp. boreali-atlanticus foredune community,<i>Elymus farctus</i> ssp. <i>boreali-atlanticus</i> foredune community,SD4,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Ammophila arenaria-Festuca rubra semi-fixed dune community,<i>Ammophila arenaria</i>-<i>Festuca rubra</i> semi-fixed dune community,SD7,National Vegetation Classification,overlaps with,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Shingle and gravel beaches with scrub,Shingle and gravel beaches with scrub,B2.5,EUNIS Classification,relationship uncertain,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,"Fixed shingle beaches, with herbaceous vegetation","Fixed shingle beaches, with herbaceous vegetation",B2.4,EUNIS Classification,relationship uncertain,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Shingle above high tide mark,Shingle above high tide mark,SS3,Integrated Habitat System,is equal to,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Shingle and gravel beach woodland,Shingle and gravel beach woodland,B2.6,EUNIS Classification,relationship uncertain,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Upper shingle beaches with open vegetation,Upper shingle beaches with open vegetation,B2.3,EUNIS Classification,contains,
Shingle/gravel above high tide mark,Shingle/gravel above high tide mark,H3,Phase 1 Habitat Classification,Unvegetated mobile shingle beaches above the driftline,Unvegetated mobile shingle beaches above the driftline,B2.2,EUNIS Classification,contains,
Acid siliceous inland cliffs,Acid siliceous inland cliffs,H3.1,EUNIS Classification,"Natural rock exposure: inland cliff, acid/neutral","Natural rock exposure: inland cliff, acid/neutral",I111,Phase 1 Habitat Classification,overlaps with,
Acid siliceous inland cliffs,Acid siliceous inland cliffs,H3.1,EUNIS Classification,Plants in crevices on acid rocks,Siliceous rocky slopes with chasmophytic vegetation,H8220,EU Habitats Directive Annex I,overlaps with,H8220
Lowland northern and middle siliceous cliffs,Lowland northern and middle siliceous cliffs,H3.19,EUNIS Classification,Plants in crevices on acid rocks,Siliceous rocky slopes with chasmophytic vegetation,H8220,EU Habitats Directive Annex I,is contained in,H8220
Basic and ultra-basic inland cliffs,Basic and ultra-basic inland cliffs,H3.2,EUNIS Classification,"Natural rock exposure: inland cliff, basic","Natural rock exposure: inland cliff, basic",I112,Phase 1 Habitat Classification,is equal to,
Basic and ultra-basic inland cliffs,Basic and ultra-basic inland cliffs,H3.2,EUNIS Classification,Plants in crevices in base-rich rocks,Calcareous rocky slopes with chasmophytic vegetation,H8210,EU Habitats Directive Annex I,overlaps with,H8210
Middle-European calcareous fern cliffs                      ,Middle-European calcareous fern cliffs                                          ,H3.252,EUNIS Classification,Asplenium trichomanes-Asplenium ruta-muraria community,<i>Asplenium trichomanes</i>-<i>Asplenium ruta-muraria</i> community,OV39 ,National Vegetation Classification,is contained in,
Middle-European calcareous fern cliffs                      ,Middle-European calcareous fern cliffs                                          ,H3.252,EUNIS Classification,Asplenium viride-Cystopteris fragilis community,<i>Asplenium viride</i>-<i>Cystopteris fragilis</i> community,OV40,National Vegetation Classification,is contained in,
